Year,PLANTS_AEA plant ID,PCE reporting ID,RCA CPCN,OPERATOR_Operator Name,PLANTS_Plant Name,INTERTIES_Intertie Name,AEA Energy Region,Data source,SUN,BIT,DFO,JF,kwh_purchased,LFG,LIG,MWH,NG,OBL,OG,RFO,SUB,WAT,WC,WDS,WND,WO,(blank),AB,SUN.1,BIT.1,DFO.1,JF.1,kwh_purchased.1,LFG.1,LIG.1,MWH.1,NG.1,OBL.1,OG.1,RFO.1,SUB.1,WAT.1,WC.1,WDS.1,WND.1,WO.1,(blank).1,AB.1,SUN.2,BIT.2,DFO.2,JF.2,kwh_purchased.2,LFG.2,LIG.2,MWH.2,NG.2,OBL.2,OG.2,RFO.2,SUB.2,WAT.2,WC.2,WDS.2,WND.2,WO.2,(blank).2,AB.2,Unnamed: 69,Unnamed: 70,Unnamed: 71
2001,P1,(blank),0,Agrium US Inc,Agrium Kenai Nitrogen Operations,Railbelt_grid,Railbelt,EIA923,,,,,,,,,86970.99900000001,,,,,,,,,,,,,,,,,,,,546405.67,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,86970.99900000001,546405.67,12.0
2001,P100,331740,683,Alutiiq Power Company,Karluk,Karluk_grid,Kodiak,PCE,,,83.719,,,,,,,,,,,,,,,,,,,,9236.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,83.719,9236.0,6.0
2001,P101,(blank),121,Anchorage Municipal Light and Power,Anchorage 1,Railbelt_grid,Railbelt,EIA923,,,218.0,,,,,,22648.0,,,,,,,,,,,,,,20160.0,,,,,,452393.0,,,,,,,,,,,,,,12.0,,,,,,12.0,,,,,,,,,,,,22866.0,472553.0,24.0
2001,P102,(blank),121,Anchorage Municipal Light and Power,Eklutna Hydro Project,Railbelt_grid,Railbelt,EIA923,,,,,,,,,,,,,,146252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,146252.0,,12.0
2001,P103,(blank),121,Anchorage Municipal Light and Power,George M Sullivan Generation Plant 2,Railbelt_grid,Railbelt,EIA923,,,353.0,,,,,,806240.0,,,,,,,,,,,,,,30240.0,,,,,,8072338.0,,,,,,,,,,,,,,12.0,,,,,,12.0,,,,,,,,,,,,806593.0,8102578.0,24.0
2001,P105,331760,5,Aniak Light & Power,Aniak,Aniak_grid,Lower Yukon-Kuskokwim,PCE,,,1299.0,,,,,,,,,,,,,,,,,,,,99373.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,1299.0,99373.0,6.0
2001,P107,331750,291,Andreanof Electric Corp,Atka,Atka_grid,Aleutians,PCE,,,68.503,,,,,,,,,,,,,,,,,,,,8820.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,68.503,8820.0,3.0
2001,P108,331780,337,Atmautluak Tribal Utilities,Atmautluak,Atmautluak_grid,Lower Yukon-Kuskokwim,PCE,,,441.20000000000005,,,,,,,,,,,,,,,,,,,,31223.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,441.20000000000005,31223.0,6.0
2001,P11,(blank),1,Alaska Electric Light & Power Company,Lemon Creek,Juneau_grid,Southeast,EIA923,,,1014.9979999999999,,,,,,,,,,,,,,,,,,,,101346.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,1014.9979999999999,101346.0,12.0
2001,P110,(blank),214,Barrow Utilities & Electric Cooperative Inc.,Barrow,Utqiagvik_grid,North Slope,EIA923,,,,,,,,,50493.0,,,,,,,,,,,,,,,,,,,,760123.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,50493.0,760123.0,12.0
2001,P113,331820,432,"Buckland, City of",Buckland,Buckland_grid,Northwest Arctic,PCE,,,413.46,,,,,,,,,,,,,,,,,,,,30465.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,413.46,30465.0,6.0
2001,P114,331840,682,Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik_grid,Yukon-Koyukuk/Upper Tanana,PCE,,,68.46000000000001,,,,,,,,,,,,,,,,,,,,4193.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,68.46000000000001,4193.0,2.0
2001,P115,331850,686,Chenega Ira Council,Chenega Bay,Chenega_grid,Copper River/Chugach,PCE,,,153.0,,,,,,,,,,,,,,,,,,,,14404.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,153.0,14404.0,6.0
2001,P116,331870,658,Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon_grid,Bristol Bay,PCE,,,319.725,,,,,,,,,,,,,,,,,,,,26505.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,319.725,26505.0,6.0
2001,P117,331880,437,Chignik Lake Electric Utility,Chignik Lake,Chignik Lake_grid,Bristol Bay,PCE,,,,,170.92999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,170.92999999999998,,4.0
2001,P118,331860,297,"Chignik, City of",Chignik,Chignik_grid,Bristol Bay,PCE,,,334.31999999999994,,,,,,,,,,,,,,,,,,,,29149.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,334.31999999999994,29149.0,6.0
2001,P119,331890,368,Chitina Electric Inc,Chitina,Chitina_grid,Copper River/Chugach,PCE,,,249.105,,,,,,,,,,,,,,,,,,,,20983.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,249.105,20983.0,6.0
2001,P12,(blank),1,Alaska Electric Light & Power Company,Salmon Creek 1,Juneau_grid,Southeast,EIA923,,,,,,,,,,,,,,24730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,24730.0,,12.0
2001,P120,(blank),8,Chugach Electric Assn Inc,Beluga,Railbelt_grid,Railbelt,EIA923,,,,,,,,,1859079.0,,,,,,,,,,,,,,,,,,,,19525678.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,1859079.0,19525678.0,12.0
2001,P121,(blank),8,Chugach Electric Assn Inc,Cooper Lake,Railbelt_grid,Railbelt,EIA923,,,,,,,,,,,,,,59447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,59447.0,,12.0
2001,P122,(blank),8,Chugach Electric Assn Inc,International,Railbelt_grid,Railbelt,EIA923,,,0.0,,,,,,2035.0,,,,,,,,,,,,,,0.0,,,,,,62561.0,,,,,,,,,,,,,,12.0,,,,,,12.0,,,,,,,,,,,,2035.0,62561.0,24.0
2001,P124,331900,256,Circle Electric Utility,Circle,Circle_grid,Yukon-Koyukuk/Upper Tanana,PCE,,,191.76,,,,,,,,,,,,,,,,,,,,17724.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,191.76,17724.0,6.0
2001,P127,(blank),10,"Copper Valley Elec Assn, Inc",Glennallen,CopperValley_grid,Copper River/Chugach,EIA923,,,16413.000000000004,,,,,,,,,,,,,,,,,,,,1248030.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,16413.000000000004,1248030.0,12.0
2001,P128,(blank),10,"Copper Valley Elec Assn, Inc",Solomon Gulch,CopperValley_grid,Copper River/Chugach,EIA923,,,,,,,,,,,,,,50788.001000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,50788.001000000004,,12.0
2001,P129,(blank),10,"Copper Valley Elec Assn, Inc",Valdez,CopperValley_grid,Copper River/Chugach,EIA923,,,2599.9990000000003,,,,,,,,,,,,,,,,,,,,338016.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,2599.9990000000003,338016.0,12.0
2001,P13,(blank),1,Alaska Electric Light & Power Company,Snettisham,Juneau_grid,Southeast,EIA923,,,,,,,,,,,,,,279606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,279606.0,,12.0
2001,P132,(blank),160,Cordova Electric Cooperative,Humpback Creek,Cordova_grid,Copper River/Chugach,EIA923,,,,,,,,,,,,,,2622.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,2622.999,,12.0
2001,P133,(blank),160,Cordova Electric Cooperative,Orca,Cordova_grid,Copper River/Chugach,EIA923,,,20795.001,,,,,,,,,,,,,,,,,,,,1513176.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,20795.001,1513176.0,12.0
2001,P134,(blank),160,Cordova Electric Cooperative,Power Creek,Cordova_grid,Copper River/Chugach,EIA923,,,,,,,,,,,,,,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,263.0,,12.0
2001,P135,331930,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,PCE,,,278.03000000000003,,,,,,,,,,,,,,,,,,,,21488.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,278.03000000000003,21488.0,6.0
2001,P136,(blank),720,Doyon Utilities - Fort Greely,Fort Greely Power Plant,Railbelt_grid,Railbelt,EIA923,,,185.99800000000002,,,,,,,,,,,,,,,,,,,,13692.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,185.99800000000002,13692.0,12.0
2001,P137,(blank),726,Doyon Utilities - Fort Wainwright,Utility Plants Section,Railbelt_grid,Railbelt,EIA923,,89689.00200000001,,,,,,,,,,,,,,,,,,,,96507.15999999999,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,89689.00200000001,96507.15999999999,12.0
2001,P139,(blank),320,Egegik Light & Power Co,Egegik,Egegik_grid,Bristol Bay,EIA923,,,821.0009999999999,,,,,,,,,,,,,,,,,,,,73038.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,821.0009999999999,73038.0,12.0
2001,P140,331960,701,Elfin Cove Utility Commission,Elfin Cove,Elfin Cove_grid,Southeast,PCE,,,169.0,,,,,,,,,,,,,,,,,,,,13566.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,169.0,13566.0,5.0
2001,P141,331970,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,PCE,,,316.811,,,,,,,,,,,,,,,,,,,,27402.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,316.811,27402.0,6.0
2001,P143,331980,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,PCE,,,1424.267,,,,,,,,,,,,,,,,,,,,104026.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,1424.267,104026.0,6.0
2001,P144,331990,274,"Galena, City of",Galena Electric Utility,Galena_grid,Yukon-Koyukuk/Upper Tanana,PCE,,,4818.001,,,,,,,,,,,,,,,,,,,,347458.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,4818.001,347458.0,6.0
2001,P145,331830,341,Central Electric Inc.,Central,Central_grid,Yukon-Koyukuk/Upper Tanana,PCE,,,325.285,,,,,,,,,,,,,,,,,,,,25574.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,325.285,25574.0,6.0
2001,P149,(blank),13,Golden Valley Elec Assn Inc,Fairbanks,Railbelt_grid,Railbelt,EIA923,,,-326.0,,,,,,,,,653.0,,,,,,,,,,,13734.0,,,,,,,,,144648.0,,,,,,,,,,,12.0,,,,,,,,,12.0,,,,,,,,,327.0,158382.0,24.0
2001,P15,(blank),2,Alaska Power & Telephone Company,Black Bear Lake,Prince of Wales Is._grid,Southeast,EIA923,,,,,,,,,,,,,,22825.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,22825.999,,12.0
2001,P150,(blank),13,Golden Valley Elec Assn Inc,Healy,Railbelt_grid,Railbelt,EIA923,,,280.0,,,,,,,,,,194008.0,,,,,,,,,,30954.0,,,,,,,,,,180663.0,,,,,,,,,,12.0,,,,,,,,,,12.0,,,,,,,,194288.0,211617.0,24.0
