intertie_id,Intertie Unique ID Name,Current ID,Month of interite,Year of intertie,AEA energy region,Source
065-2016,New_Stuyahok_grid,True,,2016.0,Bristol Bay,
066-0000,Noatak_grid,True,,,Northwest Arctic,
067-0000,Noorvik_grid,True,,,Northwest Arctic,
068-0000,Nulato_grid,True,,,Yukon-Koyukuk/Upper Tanana,
069-0000,Old Harbor_grid,True,,,Kodiak,
070-0000,Pilot Station_grid,True,,,Lower Yukon-Kuskokwim,
071-0000,Quinhagak_grid,True,,,Lower Yukon-Kuskokwim,
072-0000,Russian Mission_grid,True,,,Lower Yukon-Kuskokwim,
075-2020,Saint Mary's_grid,True,,2020.0,Lower Yukon-Kuskokwim,
076-0000,Savoonga_grid,True,,,Bering Straits,
077-0000,Scammon Bay_grid,True,,,Lower Yukon-Kuskokwim,
078-0000,Selawik_grid,True,,,Northwest Arctic,
079-0000,Shageluk_grid,True,,,Yukon-Koyukuk/Upper Tanana,
080-0000,Shaktoolik_grid,True,,,Bering Straits,
081-0000,Shishmaref_grid,True,,,Bering Straits,
084-2015,Stebbins_grid,True,9.0,2015.0,Bering Straits,PCE reporting
085-0000,Teller_grid,True,,,Bering Straits,
086-2020,Togiak_grid,True,,2020.0,Bristol Bay,
088-2008,Toksook Bay_grid,True,5.0,2008.0,Lower Yukon-Kuskokwim,Distributing Alaska's Power. 2008
090-0000,Wales_grid,True,,,Bering Straits,
091-0000,Yakutat_grid,True,,,Southeast,
092-0000,Karluk_grid,True,,,Kodiak,
093-0000,Aniak_grid,True,,,Lower Yukon-Kuskokwim,
094-0000,Arctic Village_grid,True,,,Yukon-Koyukuk/Upper Tanana,
095-0000,Atka_grid,True,,,Aleutians,
096-0000,Atmautluak_grid,True,,,Lower Yukon-Kuskokwim,
097-0000,Beaver_grid,True,,,Yukon-Koyukuk/Upper Tanana,
098-0000,Birch Creek_grid,True,,,Yukon-Koyukuk/Upper Tanana,
099-0000,Buckland_grid,True,,,Northwest Arctic,
100-0000,Chalkyitsik_grid,True,,,Yukon-Koyukuk/Upper Tanana,
101-0000,Chenega_grid,True,,,Copper River/Chugach,
102-0000,Chignik Lagoon_grid,True,,,Bristol Bay,
103-0000,Chignik Lake_grid,True,,,Bristol Bay,
104-0000,Chignik_grid,True,,,Bristol Bay,
105-0000,Chitina_grid,True,,,Copper River/Chugach,
106-0000,Circle_grid,True,,,Yukon-Koyukuk/Upper Tanana,
107-0000,Clark's Point_grid,True,,,Bristol Bay,
110-0000,Diomede_grid,True,,,Bering Straits,
111-0000,Egegik_grid,True,,,Bristol Bay,
112-0000,Elfin Cove_grid,True,,,Southeast,
113-0000,False Pass_grid,True,,,Aleutians,
114-0000,Cold Bay_grid,True,,,Aleutians,
115-0000,Galena_grid,True,,,Yukon-Koyukuk/Upper Tanana,
116-0000,Central_grid,True,,,Yukon-Koyukuk/Upper Tanana,
117-0000,Golovin_grid,True,,,Bering Straits,
118-0000,Gustavus_grid,True,,,Southeast,
119-0000,Fort Yukon_grid,True,,,Yukon-Koyukuk/Upper Tanana,
120-0000,Hughes_grid,True,,,Yukon-Koyukuk/Upper Tanana,
121-0000,Igiugig_grid,True,,,Bristol Bay,
123-1983,Newhalen_grid,True,,1983.0,Bristol Bay,https://www.innelectric.com/our-history.html
125-0000,Angoon_grid,True,,,Southeast,
128-0000,Hoonah_grid,True,,,Southeast,
129-0000,Kake_grid,True,,,Southeast,
130-0000,Deering_grid,True,,,Northwest Arctic,
131-0000,King Cove_grid,True,,,Aleutians,
132-0000,Kipnuk_grid,True,,,Lower Yukon-Kuskokwim,
134-0000,Kokhanok_grid,True,,,Bristol Bay,
135-0000,Kotzebue_grid,True,,,Northwest Arctic,
136-0000,Koyukuk_grid,True,,,Yukon-Koyukuk/Upper Tanana,
137-0000,Kwethluk_grid,True,,,Lower Yukon-Kuskokwim,
138-0000,Kwigillingok_grid,True,,,Lower Yukon-Kuskokwim,
139-0000,Larsen Bay_grid,True,,,Kodiak,
140-0000,Levelock_grid,True,,,Bristol Bay,
141-0000,Lime Village_grid,True,,,Lower Yukon-Kuskokwim,
142-0000,Manokotak_grid,True,,,Bristol Bay,
143-0000,McGrath_grid,True,,,Yukon-Koyukuk/Upper Tanana,
144-0000,Chuathbaluk_grid,True,,,Lower Yukon-Kuskokwim,
145-0000,Crooked Creek_grid,True,,,Lower Yukon-Kuskokwim,
146-0000,Red Devil_grid,True,,,Lower Yukon-Kuskokwim,
147-0000,Sleetmute_grid,True,,,Lower Yukon-Kuskokwim,
148-0000,Stony River_grid,True,,,Lower Yukon-Kuskokwim,
149-1980,Shungnak_grid,True,,1980.0,Northwest Arctic,
150-0000,Naknek_grid,True,,,Bristol Bay,
153-0000,Napaskiak_grid,True,,,Lower Yukon-Kuskokwim,
154-0000,Chefornak_grid,True,,,Lower Yukon-Kuskokwim,
155-0000,Perryville_grid,True,,,Bristol Bay,
156-0000,Nelson Lagoon_grid,True,,,Aleutians,
157-0000,Koliganek_grid,True,,,Bristol Bay,
158-0000,Nikolai_grid,True,,,Yukon-Koyukuk/Upper Tanana,
159-0000,Nome_grid,True,,,Bering Straits,
160-0000,Anaktuvuk Pass_grid,True,,,North Slope,
161-0000,Atqasuk_grid,True,,,North Slope,
162-0000,Kaktovik_grid,True,,,North Slope,
163-0000,Nuiqsut_grid,True,,,North Slope,
164-0000,Point Hope_grid,True,,,North Slope,
165-0000,Point Lay_grid,True,,,North Slope,
166-0000,Wainwright_grid,True,,,North Slope,
