,name,state,place,fips
142,Adak city,02,00065,0200065
151,Akhiok city,02,00650,0200650
18,Akiachak CDP,02,00760,0200760
16,Akiak city,02,00870,0200870
100,Akutan city,02,01090,0201090
108,Alakanuk city,02,01200,0201200
231,Alatna CDP,02,01305,0201305
317,Alcan Border CDP,02,01390,0201390
56,Aleknagik city,02,01420,0201420
155,Aleneva CDP,02,01560,0201560
228,Allakaket city,02,01860,0201860
201,Ambler city,02,01970,0201970
115,Anaktuvuk Pass city,02,02080,0202080
279,Anchor Point CDP,02,03110,0203110
251,Anchorage municipality,02,03000,0203000
310,Anderson city,02,03220,0203220
189,Angoon city,02,03440,0203440
15,Aniak city,02,03550,0203550
222,Anvik city,02,03880,0203880
232,Arctic Village CDP,02,03990,0203990
141,Atka city,02,04210,0204210
19,Atmautluak CDP,02,04430,0204430
120,Atqasuk city,02,04500,0204500
146,Attu Station CDP,02,04670,0204670
334,Badger CDP,02,05000,0205000
280,Bear Creek CDP,02,05585,0205585
233,Beaver CDP,02,05750,0205750
281,Beluga CDP,02,06245,0206245
0,Bethel city,02,06520,0206520
229,Bettles city,02,06630,0206630
318,Big Delta CDP,02,06850,0206850
69,Big Lake CDP,02,07070,0207070
234,Birch Creek CDP,02,07620,0207620
124,Brevig Mission city,02,08740,0208740
207,Buckland city,02,09600,0209600
70,Buffalo Soapstone CDP,02,09657,0209657
71,Butte CDP,02,09710,0209710
311,Cantwell CDP,02,10150,0210150
235,Central CDP,02,11690,0211690
236,Chalkyitsik CDP,02,11800,0211800
72,Chase CDP,02,12350,0212350
11,Chefornak city,02,12680,0212680
335,Chena Ridge CDP,02,12920,0212920
185,Chenega CDP,02,12970,0212970
103,Chevak city,02,13230,0213230
73,Chickaloon CDP,02,13340,0213340
319,Chicken CDP,02,13450,0213450
41,Chignik Lagoon CDP,02,13670,0213670
42,Chignik Lake CDP,02,13780,0213780
35,Chignik city,02,13550,0213550
156,Chiniak CDP,02,13860,0213860
162,Chisana CDP,02,13890,0213890
163,Chistochina CDP,02,14000,0214000
164,Chitina CDP,02,14110,0214110
1,Chuathbaluk city,02,14330,0214330
237,Circle CDP,02,14880,0214880
282,Clam Gulch CDP,02,15320,0215320
57,Clark's Point city,02,15430,0215430
253,Coffman Cove city,02,16360,0216360
283,Cohoe CDP,02,16420,0216420
98,Cold Bay city,02,16530,0216530
238,Coldfoot CDP,02,16630,0216630
336,College CDP,02,16750,0216750
284,Cooper Landing CDP,02,17190,0217190
165,Copper Center CDP,02,17300,0217300
182,Cordova city,02,17410,0217410
349,Covenant Life CDP,02,17670,0217670
259,Craig city,02,17740,0217740
