intertie_id,generation,renewable_ratio
001-0000,275.529,0.0
002-0000,1919.966,0.0
003-0000,1202.145,0.0
004-0000,640.9970000000001,0.1594406838097526
005-0000,593.712,0.0
007-0000,538.3,0.0
009-0000,843.063,0.02887447320069793
011-0000,47.709,0.0
012-0000,1116.799,0.0
014-1990,25459.0,0.7242232609293374
015-2008,9383.041,0.0
023-2015,27580.0,0.806562726613488
026-2011,1377.214,0.0
032-1998,29932.556,0.9487248599818874
034-1988,42027.027,0.0050617903569529195
035-0000,1234.807,0.0
036-0000,406.776,0.0
039-0000,1199.979,0.0
040-0000,2511.974,0.2933541509585688
041-0000,961.739,0.0
043-0000,1333.804,0.0
045-0000,5832.614,0.06767428806363665
046-0000,1981.4199999999998,0.2400096900202885
047-0000,740.611,0.0
048-0000,655.079,0.0
049-0000,605.537,0.0
050-0000,3415.6760000000004,0.1664493353585059
051-0000,1131.645,0.0
052-2005,1570.604,0.0
054-0000,710.627,6.191715203615962e-05
055-0000,2992.741,0.1329577133470621
057-0000,1668.503,0.0
058-0000,1295.253,0.0
059-0000,1968.763,0.0
060-0000,1307.009,0.0
061-0000,1502.128,0.0
062-0000,909.696,0.14861338293232026
063-0000,623.494,0.0
065-0000,1832.28,0.0
066-0000,1941.352,0.0
067-0000,2012.354,0.005714203365809395
068-0000,975.183,0.0
069-0000,809.976,0.0
070-0000,1824.956,0.0
071-0000,2159.919,0.2553563351218263
072-0000,1010.729,0.0
075-2020,5844.812,0.0
076-0000,2244.541,0.055867992609624856
077-0000,1672.489,0.0
078-0000,2713.826,0.0
079-0000,403.281,0.0
080-0000,1110.48,0.29826201282328363
081-0000,1642.816,0.0
084-0000,3519.456,0.0
085-0000,885.521,0.0
086-0000,3084.073,0.0
088-2008,3821.286,0.2229581873746168
090-0000,656.88,0.0
091-0000,5829.114,0.0
092-0000,218.207,0.0
093-0000,2582.3,0.0
094-0000,479.774,0.0
095-0000,417.343,0.8651444974517364
096-0000,609.759,0.0
097-0000,135.058,0.0
098-0000,107.92,0.0
099-0000,1113.9560000000001,0.04425309437715672
100-0000,289.2880905,0.0
101-0000,246.47,0.0
102-0000,979.6827784,0.48289712795874135
103-0000,312.851,0.0
105-0000,436.327,0.0
106-0000,389.8,0.0
107-0000,296.0603442,0.0
110-0000,224.6354658,0.0
111-0000,627.318,0.0
112-0000,337.005,0.0
113-0000,337.09,0.0
114-0000,2412.493,0.0
115-0000,5821.688,0.0
116-0000,484.071,0.0
117-0000,935.3436077,0.0
118-0000,2428.84,0.9078621893578828
119-0000,3106.62,0.0
120-0000,442.722,0.0
121-0000,322.11,0.0
123-1983,3709.08,0.9779972392075663
125-0000,1771.994,0.0
128-0000,4496.1269999999995,0.16447756035361102
129-0000,2228.271,0.0
130-0000,632.5210000000001,0.12739656074659972
131-0000,4537.0,0.8216883403129821
132-0000,1729.96,0.0
134-0000,460.526,0.0
135-0000,19990.404,0.2201137605823274
136-0000,204.142,0.0
137-0000,1685.673,0.0
138-0000,1345.055784,0.20323766735313337
139-0000,956.8399999999999,0.9645698340370387
140-0000,373.209,0.0
141-0000,49.8135,0.0
142-0000,632.1398979,0.0
143-0000,2178.654,0.0
144-0000,232.445,0.0
145-0000,242.862,0.0
146-0000,64.385,0.0
147-0000,253.754,0.0
148-0000,126.3604822,0.0
149-1980,1627.662,0.0
150-0000,24837.295,0.0
153-0000,822.1734272,0.0
154-0000,1507.844,0.0
155-0000,298.332,0.0
156-0000,320.114,0.0
157-0000,638.836,0.0
158-0000,386.726,0.0
159-0000,31062.22,0.06769133049730508
160-0000,4033.0,0.0
161-0000,2653.826,0.0
162-0000,4469.213,0.0
163-0000,6780.0,0.0
164-0000,6768.559,0.0
165-0000,3587.415,0.0
166-0000,7424.42,0.0
167-0000,773.081,0.0
169-0000,19186.147,0.0
170-0000,674.042,0.41016435177629884
171-0000,200.199,0.0
172-0000,1309.0,0.8762414056531703
173-0000,467.705,0.0
175-0000,570.6,0.0
176-0000,1410.6129999999998,0.5170184877071174
177-0000,65.74523399,0.0
178-0000,542.331,0.0
179-0000,598.653,0.0
180-0000,3367.673,0.10638235956994638
181-0000,132.621,0.0
182-0000,110.507837,0.0
183-0000,947.255,0.0
184-0000,1340.148,0.0
185-0000,404.712,0.0
186-0000,2071.426,0.0
187-0000,4008.221,0.30005406388519995
188-0000,547.907,0.0
189-0000,389.923,0.0
190-0000,550.337,0.0
191-0000,1025.759,0.15496719989783175
192-0000,150.9636364,0.0
193-0000,215.92,0.0
194-0000,4376.741,0.17957676727958086
195-0000,96877.99999999999,0.0
196-0000,380.988,0.0
197-0000,708.8407407,0.0
198-0000,858.155,0.0
213-0000,400.003,0.0
215-1985,5033526.119,0.14984863139040364
216-1982,92707.0,0.7029026934319954
217-2009,269344.58,0.9274290947306234
219-0000,108440.0,1.0
221-0000,48253.0,0.0
222-0000,396693.0,0.999654644775683
223-0000,148213.0,0.9995007185604502
224_0000,61008.0,0.0
225_0000,19119.0,0.7082483393482922
