aea_plant_id,plant_name,intertie_id,generator_id,prime_mover,primary_fuel,other_fuel,capacity_mw,status
P1,Agrium Kenai Nitrogen Operations,215-1985,744A,GT,NG,,2.5,OS
P1,Agrium Kenai Nitrogen Operations,215-1985,744B,GT,NG,,2.5,OS
P1,Agrium Kenai Nitrogen Operations,215-1985,744C,GT,NG,,2.5,OS
P1,Agrium Kenai Nitrogen Operations,215-1985,744D,GT,NG,,2.5,OS
P1,Agrium Kenai Nitrogen Operations,215-1985,744E,GT,NG,,2.5,OS
P1,Agrium Kenai Nitrogen Operations,215-1985,644A,IC,NG,,1.3,RE
P1,Agrium Kenai Nitrogen Operations,215-1985,644B,IC,NG,,1.3,RE
P1,Agrium Kenai Nitrogen Operations,215-1985,644C,IC,NG,,1.3,RE
P1,Agrium Kenai Nitrogen Operations,215-1985,644D,IC,NG,,1.3,RE
P1,Agrium Kenai Nitrogen Operations,215-1985,644E,IC,NG,,1.3,RE
P1,Agrium Kenai Nitrogen Operations,215-1985,644F,IC,NG,,1.3,RE
P1,Agrium Kenai Nitrogen Operations,215-1985,644G,IC,NG,,1.3,RE
P10,Lake Dorothy Hydroelectric Project,222-0000,1,HY,WAT,,14.3,OP
P100,Karluk,092-0000,1,IC,DFO,,0.08,OP
P100,Karluk,092-0000,2,IC,DFO,,0.12,OP
P101,Anchorage 1,215-1985,3R,GT,NG,,48.9,OP
P101,Anchorage 1,215-1985,4,GT,NG,DFO,27.0,OS
P101,Anchorage 1,215-1985,1,GT,NG,DFO,12.5,RE
P101,Anchorage 1,215-1985,2,GT,NG,DFO,12.5,RE
P101,Anchorage 1,215-1985,3,GT,NG,DFO,16.3,RE
P101,Anchorage 1,215-1985,P1 BS,IC,DFO,,2.0,OP
P101,Anchorage 1,215-1985,D1,IC,DFO,,1.1,RE
P101,Anchorage 1,215-1985,D2,IC,DFO,,1.1,RE
P102,Eklutna Hydro Project,215-1985,1,HY,WAT,,22.2,OP
P102,Eklutna Hydro Project,215-1985,2,HY,WAT,,22.2,OP
P103,George M Sullivan Generation Plant 2,215-1985,11,CA,NG,,30.9,OP
P103,George M Sullivan Generation Plant 2,215-1985,6,CA,NG,,33.0,RE
P103,George M Sullivan Generation Plant 2,215-1985,10,CT,NG,,60.4,OP
P103,George M Sullivan Generation Plant 2,215-1985,9,CT,NG,,60.4,OP
P103,George M Sullivan Generation Plant 2,215-1985,5,CT,NG,DFO,38.1,RE
P103,George M Sullivan Generation Plant 2,215-1985,7,GT,NG,DFO,102.6,OP
P103,George M Sullivan Generation Plant 2,215-1985,GT8,GT,NG,,92.6,SB
P105,Aniak,093-0000,1,IC,DFO,,0.5,OP
P105,Aniak,093-0000,10,IC,DFO,,0.6,OP
P105,Aniak,093-0000,11,IC,DFO,,0.5,OP
P105,Aniak,093-0000,9,IC,DFO,,0.6,OP
P105,Aniak,093-0000,3,IC,DFO,,0.3,RE
P105,Aniak,093-0000,4,IC,DFO,,0.3,RE
P105,Aniak,093-0000,5,IC,DFO,,0.3,RE
P106,Arctic Village,094-0000,4,IC,DFO,,0.065,OP
P106,Arctic Village,094-0000,2,IC,DFO,,0.1,OP
P106,Arctic Village,094-0000,1,IC,DFO,,0.13,OP
P106,Arctic Village,094-0000,3,IC,DFO,,0.1,OS
P107,Atka,095-0000,,HY,WAT,,0.284,OP
P107,Atka,095-0000,1,IC,DFO,,0.11,OP
P107,Atka,095-0000,2,IC,DFO,,0.11,OP
P107,Atka,095-0000,3,IC,DFO,,0.037,OS
P108,Atmautluak,096-0000,1,IC,DFO,,0.276,OP
P108,Atmautluak,096-0000,2,IC,DFO,,0.276,OP
P108,Atmautluak,096-0000,3,IC,DFO,,0.276,OP
P108,Atmautluak,096-0000,4,IC,DFO,,0.276,OP
P109,Aurora Energy LLC Chena,215-1985,1,ST,SUB,,5.0,OP
P109,Aurora Energy LLC Chena,215-1985,2,ST,SUB,,2.5,OP
P109,Aurora Energy LLC Chena,215-1985,5,ST,SUB,,20.0,OP
P109,Aurora Energy LLC Chena,215-1985,3,ST,SUB,,1.5,RE
P109,Aurora Energy LLC Chena,215-1985,7,ST,SUB,,2.3,IP
P11,Lemon Creek,222-0000,5,GT,DFO,,18.6,SB
P11,Lemon Creek,222-0000,6,GT,DFO,,18.6,SB
P11,Lemon Creek,222-0000,1,IC,DFO,,2.5,SB
P11,Lemon Creek,222-0000,2,IC,DFO,,2.6,SB
P11,Lemon Creek,222-0000,3,IC,DFO,,2.6,SB
P11,Lemon Creek,222-0000,7,IC,DFO,,2.8,SB
P11,Lemon Creek,222-0000,IC10,IC,DFO,,2.8,SB
P11,Lemon Creek,222-0000,IC11,IC,DFO,,2.8,SB
P11,Lemon Creek,222-0000,IC12,IC,DFO,,2.8,SB
P11,Lemon Creek,222-0000,IC8,IC,DFO,,2.8,SB
P11,Lemon Creek,222-0000,IC9,IC,DFO,,2.8,SB
P110,Barrow,221-0000,11,GT,NG,,4.8,OP
P110,Barrow,221-0000,12,GT,NG,DFO,5.0,OP
P110,Barrow,221-0000,6,GT,NG,DFO,2.5,OP
P110,Barrow,221-0000,7,GT,NG,DFO,2.5,OP
P110,Barrow,221-0000,8,GT,NG,DFO,2.5,OP
P110,Barrow,221-0000,10,IC,NG,,1.5,OS
P110,Barrow,221-0000,9,IC,NG,,1.5,OS
P111,Beaver,097-0000,1,IC,DFO,,0.11,OP
P111,Beaver,097-0000,2,IC,DFO,,0.105,OP
P111,Beaver,097-0000,3,IC,DFO,,0.105,OP
P113,Buckland,099-0000,,BA,MWH,,0.277,OP
P113,Buckland,099-0000,1,IC,DFO,,0.476,OP
