aea_plant_id,plant_name,intertie_id,generator_id,prime_mover,primary_fuel,other_fuel,capacity_mw,status
P113,Buckland,099-0000,2,IC,DFO,,0.476,OP
P113,Buckland,099-0000,3,IC,DFO,,0.2,OP
P113,Buckland,099-0000,,PV,SUN,,0.046,OP
P113,Buckland,099-0000,,WT,WND,,0.2,OP
P114,Chalkyitsik,100-0000,1,IC,DFO,,0.11,OS
P114,Chalkyitsik,100-0000,2,IC,DFO,,0.117,OP
P114,Chalkyitsik,100-0000,3,IC,DFO,,0.1,OP
P115,Chenega Bay,101-0000,2,IC,DFO,,0.076,OP
P115,Chenega Bay,101-0000,2,IC,DFO,,0.076,OP
P115,Chenega Bay,101-0000,1,IC,DFO,,0.105,OP
P115,Chenega Bay,101-0000,1,IC,DFO,,0.105,OP
P115,Chenega Bay,101-0000,3,IC,DFO,,0.125,OP
P116,Chignik Lagoon,102-0000,,HY,WND,,0.167,OP
P116,Chignik Lagoon,102-0000,1,IC,DFO,,0.148,OP
P116,Chignik Lagoon,102-0000,2,IC,DFO,,0.16,OP
P116,Chignik Lagoon,102-0000,3,IC,DFO,,0.185,OP
P117,Chignik Lake,103-0000,2,IC,DFO,,0.11,OS
P117,Chignik Lake,103-0000,3,IC,DFO,,0.11,OP
P117,Chignik Lake,103-0000,1,IC,DFO,,0.15,OS
P117,Chignik Lake,103-0000,4,IC,DFO,,0.065,OP
P118,Chignik Bay,104-0000,,HY,WAT,,0.06,OP
P118,Chignik Bay,104-0000,1,IC,DFO,,0.229,OP
P118,Chignik Bay,104-0000,2,IC,DFO,,0.229,OP
P118,Chignik Bay,104-0000,3,IC,DFO,,0.117,OP
P119,Chitina,105-0000,1,IC,DFO,,0.117,OS
P119,Chitina,105-0000,2,IC,DFO,,0.117,OP
P119,Chitina,105-0000,3,IC,DFO,,0.117,OP
P12,Salmon Creek 1,222-0000,HY7,HY,WAT,,8.5,OP
P120,Beluga,215-1985,8,CA,NG,,62.0,RE
P120,Beluga,215-1985,1,GT,NG,,16.0,OP
P120,Beluga,215-1985,2,GT,NG,,16.0,OS
P120,Beluga,215-1985,3,GT,NG,,59.1,OP
P120,Beluga,215-1985,5,GT,NG,,68.3,OP
P120,Beluga,215-1985,6,GT,NG,,76.5,OS
P120,Beluga,215-1985,7,GT,NG,,76.5,OP
P121,Cooper Lake,215-1985,1,HY,WAT,,9.7,OP
P121,Cooper Lake,215-1985,2,HY,WAT,,9.7,OP
P122,International,215-1985,1,GT,NG,,15.0,OS
P122,International,215-1985,2,GT,NG,,15.0,RE
P122,International,215-1985,3,GT,NG,,16.3,RE
P123,Southcentral Power Project,215-1985,4,CA,NG,,57.5,OP
P123,Southcentral Power Project,215-1985,1,CT,NG,,48.8,OP
P123,Southcentral Power Project,215-1985,2,CT,NG,,48.8,OP
P123,Southcentral Power Project,215-1985,3,CT,NG,,48.8,OP
P124,Circle,106-0000,3,IC,DFO,,0.09,OP
P124,Circle,106-0000,1,IC,DFO,,0.1,OP
P124,Circle,106-0000,2,IC,DFO,,0.1,OP
P125,Clark's Point,107-0000,1,IC,DFO,,0.1698,OP
P125,Clark's Point,107-0000,2,IC,DFO,,0.09,OP
P125,Clark's Point,107-0000,3,IC,DFO,,0.09,OP
P126,Allison Creek Hydro,216-1982,GEN1,HY,WAT,,6.5,OP
P127,Glennallen,216-1982,6,IC,DFO,,2.6,OP
P127,Glennallen,216-1982,7,IC,DFO,,2.6,OP
P127,Glennallen,216-1982,8,IC,DFO,,1.2,OP
P127,Glennallen,216-1982,9,IC,DFO,,2.8,OP
P127,Glennallen,216-1982,1,IC,DFO,,0.3,RE
P127,Glennallen,216-1982,2,IC,DFO,,0.3,RE
P127,Glennallen,216-1982,3,IC,DFO,,0.5,RE
P127,Glennallen,216-1982,4,IC,DFO,,0.5,RE
P127,Glennallen,216-1982,5,IC,DFO,,0.5,RE
P128,Solomon Gulch,216-1982,1,HY,WAT,,6.0,OP
P128,Solomon Gulch,216-1982,2,HY,WAT,,6.0,OP
P129,Valdez,216-1982,7,GT,DFO,,2.8,RE
P129,Valdez,216-1982,11,IC,DFO,,1.6,OP
P129,Valdez,216-1982,12,IC,DFO,,1.6,OP
P129,Valdez,216-1982,4,IC,DFO,,1.9,OP
P129,Valdez,216-1982,5,IC,DFO,,2.6,OP
P129,Valdez,216-1982,6,IC,DFO,,0.9,OP
P129,Valdez,216-1982,1,IC,DFO,,0.5,RE
P129,Valdez,216-1982,2,IC,DFO,,0.5,RE
P129,Valdez,216-1982,3,IC,DFO,,0.5,RE
P13,Snettisham,222-0000,1,HY,WAT,,23.6,OP
P13,Snettisham,222-0000,2,HY,WAT,,23.6,OP
P13,Snettisham,222-0000,3,HY,WAT,,31.0,OP
P130,Valdez Cogen,216-1982,1,GT,WO,,5.3,OP
P131,Eyak Service Center BESS,014-1990,BESS1,BA,MWH,,1.0,OP
P132,Humpback Creek,014-1990,1,HY,WAT,,0.5,OP
P132,Humpback Creek,014-1990,2,HY,WAT,,0.5,OP
P132,Humpback Creek,014-1990,3,HY,WAT,,0.2,OP
P133,Orca,014-1990,3,IC,DFO,,2.5,OP
P133,Orca,014-1990,4,IC,DFO,,2.4,OP
P133,Orca,014-1990,5,IC,DFO,,1.1,OP
P133,Orca,014-1990,6,IC,DFO,,1.1,OP
P133,Orca,014-1990,7,IC,DFO,,3.6,OP
P134,Power Creek,014-1990,4,HY,WAT,,3.0,OP
P134,Power Creek,014-1990,5,HY,WAT,,3.0,OP
P135,Diomede,110-0000,1,IC,DFO,,0.179,OP
P135,Diomede,110-0000,2,IC,DFO,,0.179,OS
P135,Diomede,110-0000,3,IC,DFO,,0.15,OS
P136,Fort Greely Power Plant,215-1985,EN-4,IC,DFO,,1.2,SB
P136,Fort Greely Power Plant,215-1985,EN-5,IC,DFO,,1.2,SB
P136,Fort Greely Power Plant,215-1985,EN-6,IC,DFO,,2.5,SB
P136,Fort Greely Power Plant,215-1985,EN-7,IC,DFO,,2.5,SB
P136,Fort Greely Power Plant,215-1985,EN-1,IC,DFO,,1.0,RE
P136,Fort Greely Power Plant,215-1985,EN-2,IC,DFO,,1.0,RE
P136,Fort Greely Power Plant,215-1985,EN-3,IC,DFO,,1.0,RE
P137,Utility Plants Section,215-1985,GEN1,ST,SUB,,5.0,OP
P137,Utility Plants Section,215-1985,GEN3,ST,SUB,,5.0,OP
P137,Utility Plants Section,215-1985,GEN4,ST,SUB,,5.0,OP
P137,Utility Plants Section,215-1985,GEN5,ST,SUB,,5.0,OP
P137,Utility Plants Section,215-1985,GEN2,ST,SUB,,2.5,RE
P138,JBER Landfill Gas Power Plant,215-1985,1,IC,LFG,NG,2.3,OP
P138,JBER Landfill Gas Power Plant,215-1985,2,IC,LFG,NG,2.3,OP
P138,JBER Landfill Gas Power Plant,215-1985,3,IC,LFG,NG,2.3,OP
P138,JBER Landfill Gas Power Plant,215-1985,4,IC,LFG,NG,2.3,OP
P138,JBER Landfill Gas Power Plant,215-1985,5,IC,LFG,NG,2.3,OP
P139,Egegik,111-0000,1,IC,DFO,,0.2,OP
P139,Egegik,111-0000,2,IC,DFO,,0.4,OP
P139,Egegik,111-0000,3,IC,DFO,,0.2,OP
P139,Egegik,111-0000,4,IC,DFO,,0.2,OP
P14,Delta Wind Farm,215-1985,EWT1,WT,WND,,0.9,OP
P14,Delta Wind Farm,215-1985,EWT2,WT,WND,,0.9,OP
P14,Delta Wind Farm,215-1985,NW1,WT,WND,,0.1,OP
P142,Fire Island Wind,215-1985,WT1,WT,WND,,18.0,OP
P144,Galena Electric Utility,115-0000,1A,IC,DFO,,0.8,OP
P144,Galena Electric Utility,115-0000,2A,IC,DFO,,0.5,OP
P144,Galena Electric Utility,115-0000,3A,IC,DFO,,0.8,OP
P144,Galena Electric Utility,115-0000,4A,IC,DFO,,1.0,OP
P144,Galena Electric Utility,115-0000,5A,IC,DFO,,0.8,OP
P144,Galena Electric Utility,115-0000,2,IC,DFO,,0.8,RE
P144,Galena Electric Utility,115-0000,3,IC,DFO,,0.8,RE
P144,Galena Electric Utility,115-0000,4,IC,DFO,,0.8,RE
P144,Galena Electric Utility,115-0000,5,IC,DFO,,0.8,RE
P144,Galena Electric Utility,115-0000,6,IC,DFO,,0.5,RE
P144,Galena Electric Utility,115-0000,6A,IC,DFO,,0.4,RE
P145,Central,116-0000,2,IC,DFO,,0.1,OP
P145,Central,116-0000,3,IC,DFO,,0.145,OP
P145,Central,116-0000,1,IC,DFO,,0.1,OP
P146,Battery Energy Storage System,215-1985,BESS,BA,MWH,,40.0,OP
P147,Delta Power,215-1985,6,GT,DFO,,23.1,SB
P148,Eva Creek Wind,215-1985,EVW,WT,WND,,24.6,OP
P149,Fairbanks,215-1985,GT1,GT,DFO,,18.4,OP
P149,Fairbanks,215-1985,GT2,GT,DFO,,18.4,OP
P149,Fairbanks,215-1985,5,IC,DFO,,2.7,SB
P149,Fairbanks,215-1985,6,IC,DFO,,2.7,SB
P15,Black Bear Lake,023-2015,1,HY,WAT,,4.5,OP
P150,Healy,215-1985,IC1,IC,DFO,,2.8,OP
P150,Healy,215-1985,1,ST,LIG,WC,28.0,OP
P150,Healy,215-1985,2,ST,LIG,WC,62.0,OP
P151,North Pole,215-1985,STG1,CA,WO,DFO,13.0,OP
P151,North Pole,215-1985,GT3,CT,WO,DFO,47.0,OP
P151,North Pole,215-1985,1,GT,DFO,,60.5,OP
P151,North Pole,215-1985,2,GT,DFO,,60.5,OP
P152,GVEA Solar Farm,215-1985,,PV,SUN,,0.5630000000000001,OP
P153,Golovin,117-0000,1,IC,DFO,,0.18,OP
P153,Golovin,117-0000,2,IC,DFO,,0.18,OP
P153,Golovin,117-0000,3,IC,DFO,,0.18,OP
P153,Golovin,117-0000,4,IC,DFO,,0.15,OP
P154,Gwitchyaa Zhee,119-0000,10,IC,DFO,,0.4,OP
P154,Gwitchyaa Zhee,119-0000,7,IC,DFO,,1.0,OP
P154,Gwitchyaa Zhee,119-0000,8,IC,DFO,,1.0,OP
P154,Gwitchyaa Zhee,119-0000,9,IC,DFO,,0.4,OP
P154,Gwitchyaa Zhee,119-0000,1,IC,DFO,,0.6,RE
P154,Gwitchyaa Zhee,119-0000,2A,IC,DFO,,0.5,RE
P154,Gwitchyaa Zhee,119-0000,3,IC,DFO,,0.6,RE
P154,Gwitchyaa Zhee,119-0000,4A,IC,DFO,,0.5,RE
P154,Gwitchyaa Zhee,119-0000,5,IC,DFO,,0.5,RE
P154,Gwitchyaa Zhee,119-0000,6,IC,DFO,,0.5,RE
P155,Bernice Lake,215-1985,2,GT,NG,,20.7,OP
P155,Bernice Lake,215-1985,3,GT,NG,,28.8,OP
P155,Bernice Lake,215-1985,4,GT,NG,,27.2,OP
P156,Bradley Lake,215-1985,1,HY,WAT,,63.0,OP
P156,Bradley Lake,215-1985,2,HY,WAT,,63.0,OP
P157,Nikiski Co-Generation,215-1985,ST1,CA,NG,,40.0,OP
P157,Nikiski Co-Generation,215-1985,GT1,CT,NG,,40.8,OP
P158,Seldovia,215-1985,5,IC,DFO,,1.2,OP
P158,Seldovia,215-1985,7,IC,DFO,,1.0,OP
P158,Seldovia,215-1985,1,IC,DFO,,0.3,RE
P158,Seldovia,215-1985,2,IC,DFO,,0.6,RE
P158,Seldovia,215-1985,3,IC,DFO,,0.6,RE
P158,Seldovia,215-1985,4,IC,DFO,,0.6,RE
P158,Seldovia,215-1985,6,IC,DFO,,1.2,RE
P159,Soldotna,215-1985,3,BA,MWH,,46.5,OP
P159,Soldotna,215-1985,1,GT,NG,,50.0,OP
P159,Soldotna,215-1985,2,GT,NG,,50.0,IP
P16,Goat Lake Hydro,032-1998,1,HY,WAT,,4.0,OP
P160,Hughes,120-0000,,BA,MWH,,0.25,OP
P160,Hughes,120-0000,3,IC,DFO,,0.037,OS
P160,Hughes,120-0000,2,IC,DFO,,0.078,OP
P160,Hughes,120-0000,1,IC,DFO,,0.078,OP
P160,Hughes,120-0000,4,IC,DFO,,0.185,OP
P160,Hughes,120-0000,,PV,SUN,,0.12,OP
P161,Igiugig,121-0000,,BA,MWH,,0.125,OP
P161,Igiugig,121-0000,,HA,WAT,,0.035,OP
P161,Igiugig,121-0000,1,IC,DFO,,0.067,OP
P161,Igiugig,121-0000,3,IC,DFO,,0.067,OP
P161,Igiugig,121-0000,2,IC,DFO,,0.067,OS
P162,Newhalen,123-1983,H-1,HY,WAT,,0.4,OP
P162,Newhalen,123-1983,H-2,HY,WAT,,0.4,OP
P162,Newhalen,123-1983,5,IC,DFO,,0.3,OP
P162,Newhalen,123-1983,6,IC,DFO,,0.3,OP
P162,Newhalen,123-1983,7,IC,DFO,,0.3,OP
P162,Newhalen,123-1983,1,IC,DFO,,0.3,RE
P162,Newhalen,123-1983,2,IC,DFO,,0.3,RE
P162,Newhalen,123-1983,3,IC,DFO,,0.3,RE
P162,Newhalen,123-1983,4,IC,DFO,,0.6,RE
P163,Angoon,125-0000,1A,IC,DFO,JF,0.5,OP
P163,Angoon,125-0000,2A,IC,DFO,JF,0.5,OP
P163,Angoon,125-0000,3,IC,DFO,JF,0.5,OP
P163,Angoon,125-0000,1,IC,DFO,,0.4,RE
P164,Hoonah,128-0000,,HY,WAT,,0.45,OP
P164,Hoonah,128-0000,2A,IC,DFO,JF,1.0,OP
P164,Hoonah,128-0000,3A,IC,DFO,JF,0.5,OP
P164,Hoonah,128-0000,4,IC,DFO,JF,0.5,OP
P164,Hoonah,128-0000,1,IC,DFO,,0.6,RE
P164,Hoonah,128-0000,3,IC,DFO,,0.8,RE
P165,Kake,129-0000,,HY,WAT,,0.5,OP
P165,Kake,129-0000,1B,IC,DFO,JF,0.5,OP
P165,Kake,129-0000,2,IC,DFO,JF,1.1,OP
P165,Kake,129-0000,2A,IC,DFO,JF,0.5,OP
P165,Kake,129-0000,3B,IC,DFO,JF,0.5,OP
P165,Kake,129-0000,4,IC,DFO,JF,0.5,OP
P165,Kake,129-0000,1,IC,DFO,,0.6,RE
P165,Kake,129-0000,1A,IC,DFO,JF,0.5,RE
P165,Kake,129-0000,3A,IC,DFO,JF,0.8,RE
P166,Chilkat Valley,032-1998,,HY,WAT,,0.55,OP
P169,Deering,130-0000,,BA,MWH,,0.277,OP
P169,Deering,130-0000,4,IC,DFO,,0.17,OP
P169,Deering,130-0000,1,IC,DFO,,0.0,OS
P169,Deering,130-0000,3,IC,DFO,,0.0,OP
P169,Deering,130-0000,2,IC,DFO,,0.2,OS
P169,Deering,130-0000,,PV,SUN,,0.0485,OP
P169,Deering,130-0000,,WT,WND,,0.1,OP
P17,Kasidaya Creek Hydro,032-1998,1,HY,WAT,,3.0,OP
P171,Beaver Falls,217-2009,1,HY,WAT,,1.0,OP
P171,Beaver Falls,217-2009,3,HY,WAT,,2.2,OP
P171,Beaver Falls,217-2009,4,HY,WAT,,2.2,OP
P172,Ketchikan,217-2009,3,HY,WAT,,1.4,OP
P172,Ketchikan,217-2009,4,HY,WAT,,1.4,OP
P172,Ketchikan,217-2009,5,HY,WAT,,1.4,OP
P173,S W Bailey,217-2009,1,IC,DFO,,4.5,OP
P173,S W Bailey,217-2009,2,IC,DFO,,4.5,OP
P173,S W Bailey,217-2009,3,IC,DFO,,6.4,OP
P173,S W Bailey,217-2009,4,IC,DFO,,10.5,OP
P174,Silvis,217-2009,1,HY,WAT,,2.1,OP
P175,Swan Lake,217-2009,1,HY,WAT,,11.3,OP
P175,Swan Lake,217-2009,2,HY,WAT,,11.3,OP
P176,Whitman,217-2009,WPG-1,HY,WAT,,3.9,OP
P176,Whitman,217-2009,WPG-2,HY,WAT,,0.9,OP
P177,King Cove,131-0000,,HY,WAT,,0.4,OP
P177,King Cove,131-0000,4,HY,WAT,,0.8,OP
P177,King Cove,131-0000,1,IC,DFO,,0.3,OP
P177,King Cove,131-0000,2,IC,DFO,,0.5,OP
P177,King Cove,131-0000,3,IC,DFO,,0.7,OP
P177,King Cove,131-0000,5,IC,DFO,,0.3,OP
P178,Kipnuk,132-0000,1,IC,DFO,,0.47,OS
P178,Kipnuk,132-0000,2,IC,DFO,,0.47,OP
P178,Kipnuk,132-0000,3,IC,DFO,,0.47,OP
P178,Kipnuk,132-0000,,WT,WND,,0.5700000000000001,OP
P179,Kobuk,149-1980,1,IC,DFO,,0.18,OP
P18,South Fork,023-2015,1,HY,WAT,,2.0,OP
P180,ESS Battery Microgrid,223-0000,1,BA,MWH,,3.0,OP
P181,Flywheel Energy Storage System Microgrid,223-0000,FESS,FW,MWH,,2.0,OP
P182,Kodiak Microgrid,223-0000,1,IC,DFO,,2.5,OP
P182,Kodiak Microgrid,223-0000,2c,IC,DFO,,4.4,OP
P182,Kodiak Microgrid,223-0000,3c,IC,DFO,,4.4,OP
P182,Kodiak Microgrid,223-0000,4,IC,DFO,,7.0,OP
P182,Kodiak Microgrid,223-0000,2,IC,DFO,,5.2,RE
P182,Kodiak Microgrid,223-0000,3,IC,DFO,,5.2,RE
P182,Kodiak Microgrid,223-0000,6,IC,DFO,,2.0,RE
P182,Kodiak Microgrid,223-0000,7,IC,DFO,,2.0,RE
P182,Kodiak Microgrid,223-0000,8,IC,DFO,,2.6,RE
P182,Kodiak Microgrid,223-0000,9,IC,DFO,,2.0,RE
P183,Nymans Plant Microgrid,223-0000,1,IC,DFO,,2.5,OP
P183,Nymans Plant Microgrid,223-0000,2,IC,DFO,,7.5,OP
P184,Pillar Mountain Wind Project Microgrid,223-0000,1,WT,WND,,4.5,OP
P184,Pillar Mountain Wind Project Microgrid,223-0000,2,WT,WND,,4.5,OP
P185,Port Lions Microgrid,223-0000,5,IC,DFO,,0.5,OP
P185,Port Lions Microgrid,223-0000,1,IC,DFO,,0.3,RE
P185,Port Lions Microgrid,223-0000,2,IC,DFO,,0.3,RE
P185,Port Lions Microgrid,223-0000,3,IC,DFO,,0.2,RE
P185,Port Lions Microgrid,223-0000,4,IC,DFO,,0.2,RE
P186,Swampy Acres Microgrid,223-0000,13,IC,DFO,,4.4,OP
P186,Swampy Acres Microgrid,223-0000,6A,IC,DFO,,2.0,OP
P186,Swampy Acres Microgrid,223-0000,7A,IC,DFO,,2.0,OP
P187,Terror Lake Microgrid,223-0000,1,HY,WAT,,11.2,OP
P187,Terror Lake Microgrid,223-0000,2,HY,WAT,,11.2,OP
P187,Terror Lake Microgrid,223-0000,3,HY,WAT,,11.2,OP
P188,Kokhanok,134-0000,1,IC,DFO,,0.07,OP
P188,Kokhanok,134-0000,2,IC,DFO,,0.185,OP
P188,Kokhanok,134-0000,3,IC,DFO,,0.21,OP
P188,Kokhanok,134-0000,4,IC,DFO,,0.117,OP
P188,Kokhanok,134-0000,,WT,WND,,0.19,OP
P189,Kotzebue,135-0000,ES1,BA,MWH,,1.2,OP
P189,Kotzebue,135-0000,10,IC,DFO,,3.0,OP
P189,Kotzebue,135-0000,14,IC,DFO,,2.8,OP
P189,Kotzebue,135-0000,15,IC,DFO,,2.8,OP
P189,Kotzebue,135-0000,16,IC,DFO,,1.4,OP
P189,Kotzebue,135-0000,17,IC,DFO,,0.7,OP
P189,Kotzebue,135-0000,7A,IC,DFO,,1.1,OP
P189,Kotzebue,135-0000,11,IC,DFO,,1.0,RE
P189,Kotzebue,135-0000,12,IC,DFO,,1.0,RE
P189,Kotzebue,135-0000,9,IC,DFO,,2.1,RE
P189,Kotzebue,135-0000,PV1,PV,SUN,,0.1,OP
P189,Kotzebue,135-0000,PV2,PV,SUN,,0.1,OP
P189,Kotzebue,135-0000,PV3,PV,SUN,,0.1,OP
P189,Kotzebue,135-0000,PV4,PV,SUN,,0.1,OP
P189,Kotzebue,135-0000,PV5,PV,SUN,,0.1,OP
P189,Kotzebue,135-0000,PV6,PV,SUN,,0.1,OP
P189,Kotzebue,135-0000,PV7,PV,SUN,,0.1,OP
P189,Kotzebue,135-0000,PV8,PV,SUN,,0.1,OP
P189,Kotzebue,135-0000,11wt,WT,WND,,0.1,OP
P189,Kotzebue,135-0000,13WT,WT,WND,,0.1,OP
P189,Kotzebue,135-0000,14wt,WT,WND,,0.1,OP
P189,Kotzebue,135-0000,15WT,WT,WND,,0.1,OP
P189,Kotzebue,135-0000,16WT,WT,WND,,0.1,OP
P189,Kotzebue,135-0000,17WT,WT,WND,,0.1,OP
P189,Kotzebue,135-0000,18WT,WT,WND,,0.9,OP
P189,Kotzebue,135-0000,19WT,WT,WND,,0.9,OP
P189,Kotzebue,135-0000,1WT,WT,WND,,0.6,OP
P189,Kotzebue,135-0000,2WT,WT,WND,,0.1,OP
P189,Kotzebue,135-0000,3WT,WT,WND,,0.2,OP
P189,Kotzebue,135-0000,10wt,WT,WND,,0.1,RE
P189,Kotzebue,135-0000,12wt,WT,WND,,0.1,RE
P189,Kotzebue,135-0000,4WT,WT,WND,,0.5,RE
P189,Kotzebue,135-0000,5WT,WT,WND,,0.1,RE
P189,Kotzebue,135-0000,6WT,WT,WND,,0.1,RE
P189,Kotzebue,135-0000,7WT,WT,WND,,0.1,RE
P189,Kotzebue,135-0000,8WT,WT,WND,,0.1,RE
P189,Kotzebue,135-0000,9wt,WT,WND,,0.1,RE
P19,Viking,023-2015,1,IC,DFO,,1.0,OS
P190,Koyukuk,136-0000,1,IC,DFO,,0.064,OP
P190,Koyukuk,136-0000,3,IC,DFO,,0.037,OS
P190,Koyukuk,136-0000,2,IC,DFO,,0.0,OP
P190,Koyukuk,136-0000,4,IC,DFO,,0.037,OS
P191,Kwethluk,137-0000,2,IC,DFO,,0.41,OP
P191,Kwethluk,137-0000,3,IC,DFO,,0.28,OS
P191,Kwethluk,137-0000,1,IC,DFO,,0.41,OP
P192,Kwigillingok,138-0000,,BA,MWH,,0.295,OP
P192,Kwigillingok,138-0000,1,IC,DFO,,0.168,OS
P192,Kwigillingok,138-0000,2,IC,DFO,,0.25,OS
P192,Kwigillingok,138-0000,3,IC,DFO,,0.23,OP
P192,Kwigillingok,138-0000,4,IC,DFO,,0.38,OP
P192,Kwigillingok,138-0000,,WT,WND,,0.475,OP
P193,Larsen Bay,139-0000,,HY,WAT,,0.475,OP
P194,Levelock,140-0000,1,IC,DFO,,0.1,OS
P194,Levelock,140-0000,2,IC,DFO,,0.067,OP
