,year,plant_name,aea_energy_region,source,data_version,fuel_type,generation,acep_region
1448,2011,Napaskiak,Lower Yukon-Kuskokwim,PCE,Final,Oil,979.45,Rural Remote
1456,2011,Chefornak,Lower Yukon-Kuskokwim,PCE,Final,Oil,1630.624,Rural Remote
1464,2011,Perryville,Bristol Bay,PCE,Final,Oil,176.4313,Rural Remote
1468,2011,Perryville,Bristol Bay,PCE,Final,Wind,15.799,Rural Remote
1472,2011,Nelson Lagoon,Aleutians,PCE,Final,Oil,392.2319,Rural Remote
1480,2011,Koliganek,Bristol Bay,PCE,Final,Oil,648.44,Rural Remote
1488,2011,Nikolai,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,399.2111,Rural Remote
1496,2011,Snake River,Bering Straits,PCE,Final,Oil,33500.0,Rural Remote
1504,2011,Anaktuvuk Pass,North Slope,EIA,Final,Oil,3599.0,Rural Remote
1512,2011,Atqasuk,North Slope,EIA,Final,Oil,3241.0,Rural Remote
1520,2011,Kaktovik,North Slope,EIA,Final,Oil,4550.0,Rural Remote
1528,2011,Nuiqsut,North Slope,EIA,Final,Oil,1754.0,Rural Remote
1529,2011,Nuiqsut,North Slope,EIA,Final,Gas,1475.0,Rural Remote
1536,2011,Point Hope,North Slope,EIA,Final,Oil,6153.0,Rural Remote
1544,2011,Point Lay,North Slope,EIA,Final,Oil,3085.0,Rural Remote
1552,2011,Wainwright,North Slope,EIA,Final,Oil,6258.0,Rural Remote
1560,2011,Sheldon Point,Lower Yukon-Kuskokwim,PCE,Final,Oil,829.249,Rural Remote
1568,2011,Dillingham,Bristol Bay,PCE,Final,Oil,18800.0,Rural Remote
1576,2011,Ouzinkie,Kodiak,PCE,Final,Oil,328.82,Coastal
1584,2011,Pedro Bay,Bristol Bay,PCE,Final,Oil,211.787,Rural Remote
1592,2011,Pelican,Southeast,PCE,Final,Oil,798.502,Coastal
1600,2011,Blind Slough,Southeast,EIA,Final,Oil,618.0,Coastal
1603,2011,Blind Slough,Southeast,EIA,Final,Hydro,10803.0,Coastal
1608,2011,Pilot Point,Bristol Bay,PCE,Final,Oil,443.084,Rural Remote
1612,2011,Pilot Point,Bristol Bay,PCE,Final,Wind,5.517,Rural Remote
1616,2011,Port Heiden,Bristol Bay,PCE,Final,Oil,490.07,Rural Remote
1624,2011,Kongiganak,Lower Yukon-Kuskokwim,PCE,Final,Oil,671.839,Rural Remote
1628,2011,Kongiganak,Lower Yukon-Kuskokwim,PCE,Final,Wind,44.0,Rural Remote
1632,2011,Ruby,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,732.5764,Rural Remote
1640,2011,Saint George,Aleutians,PCE,Final,Oil,420.732,Rural Remote
1648,2011,Saint Paul,Aleutians,PCE,Final,Oil,4295.975,Rural Remote
1656,2011,Seward,Railbelt,EIA,Final,Oil,44.0,Railbelt
1667,2011,Blue Lake,Southeast,EIA,Final,Hydro,56154.0,Coastal
1675,2011,Green Lake,Southeast,EIA,Final,Hydro,58996.0,Coastal
1680,2011,Jarvis Street,Southeast,EIA,Final,Oil,1386.0,Coastal
1688,2011,Takotna,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,194.5705,Rural Remote
1696,2011,Port Alsworth,Bristol Bay,PCE,Final,Oil,648.313,Rural Remote
1704,2011,Tanana,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,1146.596,Rural Remote
1712,2011,Tatitlek,Copper River/Chugach,PCE,Final,Oil,472.204,Coastal
1720,2011,Adak,Aleutians,PCE,Final,Oil,1908.416,Rural Remote
1728,2011,Sand Point,Aleutians,PCE,Final,Oil,4313.795,Rural Remote
1736,2011,Manley Hot Springs,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,434.1617,Rural Remote
1744,2011,Tenakee Springs,Southeast,PCE,Final,Oil,416.313,Coastal
1752,2011,Tuluksak,Lower Yukon-Kuskokwim,PCE,Final,Oil,606.7231,Rural Remote
1760,2011,Tuntutuliak,Lower Yukon-Kuskokwim,PCE,Final,Oil,970.951,Rural Remote
1768,2011,Twin Hills,Bristol Bay,PCE,Final,Oil,282.2418,Rural Remote
1776,2011,Nikolski,Aleutians,PCE,Final,Oil,211.643,Rural Remote
1780,2011,Nikolski,Aleutians,PCE,Final,Wind,0.66,Rural Remote
1784,2011,Unalakleet,Bering Straits,PCE,Final,Oil,3497.944,Rural Remote
1788,2011,Unalakleet,Bering Straits,PCE,Final,Wind,921.367,Rural Remote
1792,2011,Unalaska Power Module,Aleutians,PCE,Final,Oil,43500.0,Rural Remote
1800,2011,Newtok,Lower Yukon-Kuskokwim,PCE,Final,Oil,426.984,Rural Remote
1808,2011,White Mountain,Bering Straits,PCE,Final,Oil,369.216,Rural Remote
1816,2011,Wrangell,Southeast,EIA,Final,Oil,1374.0,Coastal
1824,2011,Yakutat,Southeast,PCE,Final,Oil,6511.709,Coastal
1832,2012,Akiachak,Lower Yukon-Kuskokwim,PCE,Final,Oil,1928.0,Rural Remote
1840,2012,Akiak,Lower Yukon-Kuskokwim,PCE,Final,Oil,1182.0,Rural Remote
1848,2012,Akutan,Aleutians,PCE,Final,Oil,320.0,Rural Remote
1851,2012,Akutan,Aleutians,PCE,Final,Hydro,365.0,Rural Remote
1859,2012,Annex Creek,Southeast,EIA,Final,Hydro,21935.0,Coastal
1864,2012,Auke Bay,Southeast,EIA,Final,Oil,592.0,Coastal
1875,2012,Gold Creek,Southeast,EIA,Final,Hydro,3987.0,Coastal
1883,2012,Lake Dorothy,Southeast,EIA,Final,Hydro,84467.0,Coastal
1888,2012,Lemon Creek,Southeast,EIA,Final,Oil,230.0,Coastal
1899,2012,Salmon Creek 1,Southeast,EIA,Final,Hydro,28396.0,Coastal
1907,2012,Snettisham,Southeast,EIA,Final,Hydro,290422.0,Coastal
1916,2012,Delta Wind Farm,Railbelt,AEA,Final,Wind,989.0,Railbelt
1920,2012,Allakaket,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,690.0,Rural Remote
1928,2012,Bettles,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,582.0,Rural Remote
1939,2012,Black Bear Lake,Southeast,EIA,Final,Hydro,19497.0,Coastal
1944,2012,Craig,Southeast,EIA,Final,Oil,1600.0,Coastal
1952,2012,Eagle,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,769.0,Rural Remote
1960,2012,False Island,Southeast,EIA,Final,Oil,726.0,Coastal
1971,2012,Goat Lake,Southeast,EIA,Final,Hydro,16298.0,Coastal
1984,2012,Healy Lake,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,77.0,Rural Remote
1992,2012,Hydaburg,Southeast,EIA,Final,Oil,34.0,Coastal
2003,2012,Kasidaya Creek,Southeast,EIA,Final,Hydro,6915.0,Coastal
2008,2012,Naukati Bay,Southeast,PCE,Final,Oil,415.0,Coastal
2016,2012,Northway,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,1270.0,Rural Remote
2027,2012,Skagway,Southeast,EIA,Final,Hydro,3331.0,Coastal
2032,2012,Slana,Copper River/Chugach,PCE,Final,Oil,1352.0,Coastal
2043,2012,South Fork,Southeast,EIA,Final,Hydro,6614.0,Coastal
2048,2012,Thorne Bay Plant,Southeast,EIA,Final,Oil,31.0,Coastal
2056,2012,Tok,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,10151.0,Rural Remote
2072,2012,Whale Pass,Southeast,PCE,Final,Oil,287.0,Coastal
2080,2012,Alakanuk,Lower Yukon-Kuskokwim,PCE,Final,Oil,2031.0,Rural Remote
2088,2012,Ambler,Northwest Arctic,PCE,Final,Oil,1312.0,Rural Remote
2096,2012,Anvik,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,417.0,Rural Remote
2104,2012,Brevig Mission,Bering Straits,PCE,Final,Oil,1185.0,Rural Remote
2112,2012,Chevak,Lower Yukon-Kuskokwim,PCE,Final,Oil,1767.0,Rural Remote
2116,2012,Chevak,Lower Yukon-Kuskokwim,PCE,Final,Wind,822.0,Rural Remote
2120,2012,Eek,Lower Yukon-Kuskokwim,PCE,Final,Oil,818.0,Rural Remote
2128,2012,Ekwok,Bristol Bay,PCE,Final,Oil,503.0,Rural Remote
2136,2012,Elim,Bering Straits,PCE,Final,Oil,1182.0,Rural Remote
2144,2012,Emmonak,Lower Yukon-Kuskokwim,PCE,Final,Oil,2866.0,Rural Remote
2148,2012,Emmonak,Lower Yukon-Kuskokwim,PCE,Final,Wind,504.0,Rural Remote
2152,2012,Gambell,Bering Straits,PCE,Final,Oil,1465.0,Rural Remote
2156,2012,Gambell,Bering Straits,PCE,Final,Wind,453.0,Rural Remote
2160,2012,Goodnews Bay,Lower Yukon-Kuskokwim,PCE,Final,Oil,830.0,Rural Remote
2168,2012,Grayling,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,563.0,Rural Remote
2176,2012,Holy Cross,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,617.0,Rural Remote
2184,2012,Hooper Bay,Lower Yukon-Kuskokwim,PCE,Final,Oil,2740.0,Rural Remote
2188,2012,Hooper Bay,Lower Yukon-Kuskokwim,PCE,Final,Wind,637.0,Rural Remote
2192,2012,Huslia,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,1033.0,Rural Remote
2200,2012,Kaltag,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,753.0,Rural Remote
2208,2012,Kasigluk,Lower Yukon-Kuskokwim,PCE,Final,Oil,2492.0,Rural Remote
2212,2012,Kasigluk,Lower Yukon-Kuskokwim,PCE,Final,Wind,517.0,Rural Remote
2216,2012,Kiana,Northwest Arctic,PCE,Final,Oil,1500.0,Rural Remote
2224,2012,Kivalina,Northwest Arctic,PCE,Final,Oil,1208.0,Rural Remote
2232,2012,Kotlik,Lower Yukon-Kuskokwim,PCE,Final,Oil,2034.0,Rural Remote
2240,2012,Koyuk,Bering Straits,PCE,Final,Oil,1324.0,Rural Remote
2248,2012,Marshall,Lower Yukon-Kuskokwim,PCE,Final,Oil,1627.0,Rural Remote
2256,2012,Mekoryuk,Lower Yukon-Kuskokwim,PCE,Final,Oil,775.0,Rural Remote
2260,2012,Mekoryuk,Lower Yukon-Kuskokwim,PCE,Final,Wind,184.0,Rural Remote
2264,2012,Minto,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,652.0,Rural Remote
2272,2012,Mountain Village,Lower Yukon-Kuskokwim,PCE,Final,Oil,2853.0,Rural Remote
2280,2012,New Stuyahok,Bristol Bay,PCE,Final,Oil,1443.0,Rural Remote
2288,2012,Noatak,Northwest Arctic,PCE,Final,Oil,1864.0,Rural Remote
2296,2012,Noorvik,Northwest Arctic,PCE,Final,Oil,2003.0,Rural Remote
2304,2012,Nulato,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,1064.0,Rural Remote
2312,2012,Old Harbor,Kodiak,PCE,Final,Oil,853.0,Coastal
2320,2012,Pilot Station,Lower Yukon-Kuskokwim,PCE,Final,Oil,1814.0,Rural Remote
2328,2012,Quinhagak,Lower Yukon-Kuskokwim,PCE,Final,Oil,1381.0,Rural Remote
