,year,plant_name,aea_energy_region,source,data_version,fuel_type,generation,acep_region
0,2011,Akiachak,Lower Yukon-Kuskokwim,PCE,Final,Oil,1851.534,Rural Remote
8,2011,Akiak,Lower Yukon-Kuskokwim,PCE,Final,Oil,1029.531,Rural Remote
16,2011,Akutan,Aleutians,PCE,Final,Oil,489.5706,Rural Remote
19,2011,Akutan,Aleutians,PCE,Final,Hydro,42.111,Rural Remote
27,2011,Annex Creek,Southeast,EIA,Final,Hydro,22270.0,Coastal
32,2011,Auke Bay,Southeast,EIA,Final,Oil,1119.0,Coastal
40,2011,Gold Creek,Southeast,EIA,Final,Oil,23.0,Coastal
43,2011,Gold Creek,Southeast,EIA,Final,Hydro,4838.0,Coastal
51,2011,Lake Dorothy,Southeast,EIA,Final,Hydro,70602.0,Coastal
56,2011,Lemon Creek,Southeast,EIA,Final,Oil,2283.0,Coastal
67,2011,Salmon Creek 1,Southeast,EIA,Final,Hydro,24337.0,Coastal
75,2011,Snettisham,Southeast,EIA,Final,Hydro,263749.0,Coastal
84,2011,Alaska Environmental,Railbelt,EIA,Final,Wind,1394.0,Railbelt
88,2011,Allakaket,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,655.368,Rural Remote
96,2011,Bettles,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,573.845,Rural Remote
112,2011,Coffman Cove,Southeast,PCE,Final,Oil,632.583,Coastal
120,2011,Craig,Southeast,EIA,Final,Oil,2779.0,Coastal
128,2011,Viking,Southeast,EIA,Final,Oil,65.0,Coastal
139,2011,Black Bear Lake,Southeast,EIA,Final,Hydro,17791.0,Coastal
147,2011,South Fork,Southeast,EIA,Final,Hydro,6115.0,Coastal
160,2011,Eagle,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,749.742,Rural Remote
171,2011,Goat Lake,Southeast,EIA,Final,Hydro,15831.0,Coastal
176,2011,Haines,Southeast,"EIA, PCE",Final,Oil,185.0,Coastal
184,2011,Skagway,Southeast,"EIA, PCE",Final,Oil,95.0,Coastal
187,2011,Skagway,Southeast,"EIA, PCE",Final,Hydro,3000.12,Coastal
192,2011,Healy Lake,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,83.3,Rural Remote
208,2011,Hydaburg,Southeast,EIA,Final,Oil,23.0,Coastal
216,2011,Mentasta Lake,Copper River/Chugach,PCE,Final,Oil,237.108,Coastal
224,2011,Naukati Bay,Southeast,PCE,Final,Oil,449.908,Coastal
232,2011,Northway,Yukon-Koyukuk/Upper Tanana,EIA,Final,Oil,1286.0,Rural Remote
243,2011,Kasidaya Creek,Southeast,EIA,Final,Hydro,7965.0,Coastal
248,2011,Slana,Copper River/Chugach,PCE,Final,Oil,1150.458,Coastal
264,2011,False Island,Southeast,EIA,Final,Oil,929.0,Coastal
272,2011,Thorne Bay Plant,Southeast,EIA,Final,Oil,119.0,Coastal
280,2011,Tok,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,10400.0,Rural Remote
288,2011,Whale Pass,Southeast,PCE,Final,Oil,267.042,Coastal
296,2011,Alakanuk,Lower Yukon-Kuskokwim,PCE,Final,Oil,1946.208,Rural Remote
304,2011,Ambler,Northwest Arctic,PCE,Final,Oil,1277.774,Rural Remote
312,2011,Anvik,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,405.42,Rural Remote
320,2011,Brevig Mission,Bering Straits,PCE,Final,Oil,1176.332,Rural Remote
328,2011,Chevak,Lower Yukon-Kuskokwim,PCE,Final,Oil,1657.267,Rural Remote
332,2011,Chevak,Lower Yukon-Kuskokwim,PCE,Final,Wind,741.629,Rural Remote
336,2011,Eek,Lower Yukon-Kuskokwim,PCE,Final,Oil,800.578,Rural Remote
344,2011,Ekwok,Bristol Bay,PCE,Final,Oil,261.5155,Rural Remote
352,2011,Elim,Bering Straits,PCE,Final,Oil,1159.445,Rural Remote
360,2011,Emmonak,Lower Yukon-Kuskokwim,PCE,Final,Oil,3089.884,Rural Remote
364,2011,Emmonak,Lower Yukon-Kuskokwim,PCE,Final,Wind,80.325,Rural Remote
368,2011,Gambell,Bering Straits,PCE,Final,Oil,1495.881,Rural Remote
372,2011,Gambell,Bering Straits,PCE,Final,Wind,387.204,Rural Remote
376,2011,Goodnews Bay,Lower Yukon-Kuskokwim,PCE,Final,Oil,773.073,Rural Remote
384,2011,Grayling,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,569.047,Rural Remote
392,2011,Holy Cross,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,594.372,Rural Remote
400,2011,Hooper Bay,Lower Yukon-Kuskokwim,PCE,Final,Oil,2711.468,Rural Remote
404,2011,Hooper Bay,Lower Yukon-Kuskokwim,PCE,Final,Wind,543.096,Rural Remote
408,2011,Huslia,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,1005.8,Rural Remote
416,2011,Upper Kalskag,Lower Yukon-Kuskokwim,PCE,Final,Oil,1472.206,Rural Remote
424,2011,Kaltag,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,727.038,Rural Remote
432,2011,Kasigluk,Lower Yukon-Kuskokwim,PCE,Final,Oil,2286.42,Rural Remote
436,2011,Kasigluk,Lower Yukon-Kuskokwim,PCE,Final,Wind,496.85,Rural Remote
440,2011,Kiana,Northwest Arctic,PCE,Final,Oil,1511.732,Rural Remote
448,2011,Kivalina,Northwest Arctic,PCE,Final,Oil,1212.085,Rural Remote
456,2011,Kotlik,Lower Yukon-Kuskokwim,PCE,Final,Oil,1966.457,Rural Remote
464,2011,Koyuk,Bering Straits,PCE,Final,Oil,1315.918,Rural Remote
480,2011,Marshall,Lower Yukon-Kuskokwim,PCE,Final,Oil,1644.176,Rural Remote
488,2011,Mekoryuk,Lower Yukon-Kuskokwim,PCE,Final,Oil,708.831,Rural Remote
492,2011,Mekoryuk,Lower Yukon-Kuskokwim,PCE,Final,Wind,238.706,Rural Remote
496,2011,Minto,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,652.663,Rural Remote
504,2011,Mountain Village,Lower Yukon-Kuskokwim,PCE,Final,Oil,2796.866,Rural Remote
512,2011,New Stuyahok,Bristol Bay,PCE,Final,Oil,1466.378,Rural Remote
528,2011,Noatak,Northwest Arctic,PCE,Final,Oil,1800.64,Rural Remote
536,2011,Noorvik,Northwest Arctic,PCE,Final,Oil,2001.474,Rural Remote
544,2011,Nulato,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,1110.214,Rural Remote
560,2011,Old Harbor,Kodiak,PCE,Final,Oil,788.019,Coastal
568,2011,Pilot Station,Lower Yukon-Kuskokwim,PCE,Final,Oil,1750.671,Rural Remote
584,2011,Quinhagak,Lower Yukon-Kuskokwim,PCE,Final,Oil,1415.165,Rural Remote
588,2011,Quinhagak,Lower Yukon-Kuskokwim,PCE,Final,Wind,409.24,Rural Remote
592,2011,Russian Mission,Lower Yukon-Kuskokwim,PCE,Final,Oil,1123.786,Rural Remote
600,2011,Saint Mary's,Lower Yukon-Kuskokwim,PCE,Final,Oil,3172.434,Rural Remote
608,2011,Saint Michael,Bering Straits,PCE,Final,Oil,1734.962,Rural Remote
616,2011,Savoonga,Bering Straits,PCE,Final,Oil,1753.637,Rural Remote
620,2011,Savoonga,Bering Straits,PCE,Final,Wind,359.924,Rural Remote
624,2011,Scammon Bay,Lower Yukon-Kuskokwim,PCE,Final,Oil,1735.552,Rural Remote
632,2011,Selawik,Northwest Arctic,PCE,Final,Oil,2745.755,Rural Remote
636,2011,Selawik,Northwest Arctic,PCE,Final,Wind,107.907,Rural Remote
640,2011,Shageluk,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,369.015,Rural Remote
648,2011,Shaktoolik,Bering Straits,PCE,Final,Oil,903.839,Rural Remote
652,2011,Shaktoolik,Bering Straits,PCE,Final,Wind,0.082,Rural Remote
656,2011,Shishmaref,Bering Straits,PCE,Final,Oil,1593.91,Rural Remote
664,2011,Shungnak,Northwest Arctic,PCE,Final,Oil,1527.344,Rural Remote
672,2011,Stebbins,Bering Straits,PCE,Final,Oil,1354.235,Rural Remote
680,2011,Teller,Bering Straits,PCE,Final,Oil,837.989,Rural Remote
688,2011,Togiak,Bristol Bay,PCE,Final,Oil,3044.756,Rural Remote
696,2011,Toksook Bay,Lower Yukon-Kuskokwim,PCE,Final,Oil,2592.108,Rural Remote
700,2011,Toksook Bay,Lower Yukon-Kuskokwim,PCE,Final,Wind,559.973,Rural Remote
712,2011,Wales,Bering Straits,PCE,Final,Oil,582.095,Rural Remote
720,2011,Karluk,Kodiak,PCE,Final,Oil,252.608,Coastal
728,2011,Anchorage 1,Railbelt,EIA,Final,Oil,48.345,Railbelt
729,2011,Anchorage 1,Railbelt,EIA,Final,Gas,91290.655,Railbelt
739,2011,Eklutna Lake,Railbelt,EIA,Final,Hydro,66088.0,Railbelt
744,2011,George M Sullivan Generation Plant 2,Railbelt,EIA,Final,Oil,328.0,Railbelt
745,2011,George M Sullivan Generation Plant 2,Railbelt,EIA,Final,Gas,1082675.0,Railbelt
752,2011,Aniak,Lower Yukon-Kuskokwim,PCE,Final,Oil,2618.598,Rural Remote
760,2011,Atka,Aleutians,PCE,Final,Oil,444.322,Rural Remote
768,2011,Atmautluak,Lower Yukon-Kuskokwim,PCE,Final,Oil,796.814,Rural Remote
778,2011,Aurora Energy,Railbelt,EIA,Final,Coal,209150.0,Railbelt
788,2011,Banner Peak Wind Farm,Bering Straits,PCE,Final,Wind,955.0,Rural Remote
793,2011,Barrow,North Slope,EIA,Final,Gas,50211.0,Rural Remote
800,2011,Beaver,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,318.03,Rural Remote
808,2011,Bethel,Lower Yukon-Kuskokwim,PCE,Final,Oil,41800.0,Rural Remote
816,2011,Buckland,Northwest Arctic,PCE,Final,Oil,1592.204,Rural Remote
824,2011,Chalkyitsik,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,304.165,Rural Remote
832,2011,Chenega Bay,Copper River/Chugach,PCE,Final,Oil,308.276,Coastal
840,2011,Chignik Lagoon,Bristol Bay,PCE,Final,Oil,506.531,Rural Remote
848,2011,Chignik Lake,Bristol Bay,PCE,Final,Oil,199.043,Rural Remote
856,2011,Chignik,Bristol Bay,PCE,Final,Oil,868.082,Rural Remote
864,2011,Chitina,Copper River/Chugach,PCE,Final,Oil,519.236,Coastal
873,2011,Beluga,Railbelt,EIA,Final,Gas,2281306.0,Railbelt
880,2011,Bernice Lake,Railbelt,EIA,Final,Oil,41995.0,Railbelt
891,2011,Cooper Lake,Railbelt,EIA,Final,Hydro,28759.0,Railbelt
896,2011,International,Railbelt,EIA,Final,Oil,21789.0,Railbelt
904,2011,Circle,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,389.51,Rural Remote
912,2011,Glennallen,Copper River/Chugach,EIA,Final,Oil,15113.0,Coastal
923,2011,Solomon Gulch,Copper River/Chugach,EIA,Final,Hydro,46189.0,Coastal
928,2011,Valdez,Copper River/Chugach,EIA,Final,Oil,7338.0,Coastal
936,2011,Valdez Cogen,Copper River/Chugach,EIA,Final,Oil,17519.0,Coastal
944,2011,Orca,Copper River/Chugach,PCE,Final,Oil,9068.0,Coastal
955,2011,Power Creek,Copper River/Chugach,PCE,Final,Hydro,16759.928,Coastal
960,2011,Diomede,Bering Straits,PCE,Final,Oil,438.7359,Rural Remote
968,2011,Egegik,Bristol Bay,PCE,Final,Oil,281.745,Rural Remote
976,2011,Elfin Cove,Southeast,PCE,Final,Oil,277.4572,Coastal
984,2011,False Pass,Aleutians,PCE,Final,Oil,461.351,Rural Remote
992,2011,Cold Bay,Aleutians,PCE,Final,Oil,2566.921,Rural Remote
1000,2011,Galena,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,2907.345,Rural Remote
1008,2011,Central,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,474.603,Rural Remote
1024,2011,Fairbanks,Railbelt,EIA,Final,Oil,8529.0,Railbelt
1032,2011,Healy,Railbelt,EIA,Final,Oil,178.0,Railbelt
1034,2011,Healy,Railbelt,EIA,Final,Coal,178010.0,Railbelt
1040,2011,North Pole,Railbelt,EIA,Final,Oil,486542.0,Railbelt
1048,2011,Golovin,Bering Straits,PCE,Final,Oil,755.701,Rural Remote
1059,2011,Falls Creek,Southeast,PCE,Final,Hydro,1955.0,Coastal
1064,2011,Gustavus,Southeast,PCE,Final,Oil,98.19696,Coastal
1072,2011,Fort Yukon,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,3061.62,Rural Remote
1081,2011,Nikiski Co-Generation,Railbelt,EIA,Final,Gas,276289.0,Railbelt
1088,2011,Seldovia,Railbelt,EIA,Final,Oil,143.0,Railbelt
1099,2011,Bradley Lake,Railbelt,EIA,Final,Hydro,303900.0,Railbelt
1104,2011,Hughes,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,372.295,Rural Remote
1112,2011,Igiugig,Bristol Bay,PCE,Final,Oil,307.718455,Rural Remote
1120,2011,Newhalen,Bristol Bay,PCE,Final,Oil,84.087,Rural Remote
1131,2011,Tazimina,Bristol Bay,PCE,Final,Hydro,3566.238,Rural Remote
1136,2011,Angoon,Southeast,PCE,Final,Oil,2025.215,Coastal
1147,2011,Chilkat Valley,Southeast,PCE,Final,Hydro,183.54,Coastal
1152,2011,Hoonah,Southeast,PCE,Final,Oil,4816.875,Coastal
1160,2011,Kake,Southeast,PCE,Final,Oil,2769.488,Coastal
1176,2011,Deering,Northwest Arctic,PCE,Final,Oil,336.347,Rural Remote
1187,2011,Beaver Falls,Southeast,EIA,Final,Hydro,46676.0,Coastal
1195,2011,Ketchikan,Southeast,EIA,Final,Hydro,22625.0,Coastal
1200,2011,S W Bailey,Southeast,EIA,Final,Oil,2603.0,Coastal
1211,2011,Silvis,Southeast,EIA,Final,Hydro,12871.0,Coastal
1219,2011,Swan Lake,Southeast,EIA,Final,Hydro,90502.0,Coastal
1224,2011,King Cove,Aleutians,PCE,Final,Oil,1712.346,Rural Remote
1227,2011,King Cove,Aleutians,PCE,Final,Hydro,3102.464,Rural Remote
1232,2011,Kipnuk,Lower Yukon-Kuskokwim,PCE,Final,Oil,1583.208,Rural Remote
1248,2011,Kodiak,Kodiak,EIA,Final,Oil,18214.0,Coastal
1256,2011,Nymans Plant,Kodiak,EIA,Final,Oil,3568.0,Coastal
1268,2011,Pillar Mountain,Kodiak,EIA,Final,Wind,12364.0,Coastal
1272,2011,Port Lions,Kodiak,EIA,Final,Oil,70.0,Coastal
1283,2011,Terror Lake,Kodiak,EIA,Final,Hydro,114186.0,Coastal
1288,2011,Kokhanok,Bristol Bay,PCE,Final,Oil,406.922,Rural Remote
1292,2011,Kokhanok,Bristol Bay,PCE,Final,Wind,66.449,Rural Remote
1296,2011,Kotzebue,Northwest Arctic,PCE,Final,Oil,20300.0,Rural Remote
1300,2011,Kotzebue,Northwest Arctic,PCE,Final,Wind,1502.537,Rural Remote
1304,2011,Koyukuk,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,314.147,Rural Remote
1312,2011,Kwethluk,Lower Yukon-Kuskokwim,PCE,Final,Oil,1377.593,Rural Remote
1320,2011,Kwigillingok,Lower Yukon-Kuskokwim,PCE,Final,Oil,1168.266,Rural Remote
1328,2011,Larsen Bay,Kodiak,PCE,Final,Oil,159.17355,Coastal
1331,2011,Larsen Bay,Kodiak,PCE,Final,Hydro,342.385,Coastal
1336,2011,Levelock,Bristol Bay,PCE,Final,Oil,472.118,Rural Remote
1344,2011,Lime Village,Lower Yukon-Kuskokwim,PCE,Final,Oil,32.903,Rural Remote
1352,2011,Manokotak,Bristol Bay,PCE,Final,Oil,1365.719,Rural Remote
1360,2011,McGrath,Yukon-Koyukuk/Upper Tanana,PCE,Final,Oil,2840.704,Rural Remote
1368,2011,Centennial,Southeast,EIA,Final,Oil,65.0,Coastal
1379,2011,Chester Lake,Southeast,EIA,Final,Hydro,5129.0,Coastal
1387,2011,Purple Lake,Southeast,EIA,Final,Hydro,15040.0,Coastal
1392,2011,Chuathbaluk,Lower Yukon-Kuskokwim,PCE,Final,Oil,220.9848,Rural Remote
1400,2011,Crooked Creek,Lower Yukon-Kuskokwim,PCE,Final,Oil,302.6524,Rural Remote
1408,2011,Red Devil,Lower Yukon-Kuskokwim,PCE,Final,Oil,106.4297,Rural Remote
1416,2011,Sleetmute,Lower Yukon-Kuskokwim,PCE,Final,Oil,259.1367,Rural Remote
1424,2011,Stony River,Lower Yukon-Kuskokwim,PCE,Final,Oil,128.072,Rural Remote
1432,2011,Naknek,Bristol Bay,PCE,Final,Oil,19900.0,Rural Remote
