,Unnamed: 0,AEA Plant ID,eia_plant_id,PCE reporting ID,plant_name,AEA_operator Id,eia_operator_id,OPERATOR_Operator_name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Currently Reports to EIA,Currently Reports to PCE,combined_heat_power,nameplate_capacity,OPERATOR_sector__id,OPERATOR_sector__name,OPERATOR_sector__number,Primary voltage,Primary voltage 2,Phases,Latitude,longitude,"status (OP, SB, OA)",Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
0,,P1,54452.0,,Agrium Kenai Nitrogen Operations,AEA-121,179.0,Agrium US Inc,215-1985,Railbelt_grid,0.0,0.0,False,,,Industrial CHP,7.0,24.8,,,60.6732,-151.3784,,,,,,,,,,,,,,,,,,,
1,,P2,,331010.0,Akhiok,AEA-001,,"Akhiok, City of",001-0000,Akhiok_grid,0.0,1.0,False,0.36,1.0,Electric Utility,1.0,7.2,,,56.94556,-154.17028,OP,,,,,,,,,,,,,,,,,,
2,,P3,,331020.0,Akiachak,AEA-003,,Akiachak Native Community,002-0000,Akiachak_grid,0.0,1.0,True,1.5,1.0,Electric Utility,1.0,7.2,,,60.90944,-161.43139,OP,,,,,,,,,,,,,,,,,,
3,,P4,,331030.0,Akiak,AEA-002,,Akiak City Council,003-0000,Akiak_grid,0.0,1.0,True,0.92,1.0,Electric Utility,1.0,7.2,,,60.91222,-161.21389,OP,,,,,,,,,,,,,,,,,,
4,,P5,,331040.0,Akutan,AEA-004,,"Akutan, City of",004-0000,Akutan_grid,0.0,1.0,False,0.552,1.0,Electric Utility,1.0,7.2,,,54.13556,-165.77306,OP,,,,,,,,,,,,,,,,,,
5,,P159,4252.0,,Soldotna,AEA-170,288.0,Alaska Electric G & T Coop Inc,215-1985,Railbelt_grid,0.0,0.0,False,50.0,1.0,Electric Utility,1.0,115.0, ,,60.499444,-150.997222,OP,,,,,,,,,,,,,,,,,,
6,,P10,57085.0,,Lake Dorothy Hydroelectric Project,AEA-133,213.0,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1.0,0.0,False,14.3,1.0,Electric Utility,1.0,138.0, ,,58.2325,-134.0533,OP,,,,,,,,,,,,,,,,,,
7,,P11,64.0,,Lemon Creek,AEA-133,213.0,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1.0,0.0,False,61.7,1.0,Electric Utility,1.0,69.0, ,,58.3536,-134.4953,OP,,,,,,,,,,,,,,,,,,
8,,P12,65.0,,Salmon Creek 1,AEA-133,213.0,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1.0,0.0,False,8.5,1.0,Electric Utility,1.0,69.0, ,,58.3269,-134.4631,OP,,,,,,,,,,,,,,,,,,
9,,P13,78.0,,Snettisham,AEA-133,213.0,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1.0,0.0,False,78.2,1.0,Electric Utility,1.0,138.0, ,,58.1415,-133.737,OP,,,,,,,,,,,,,,,,,,
10,,P6,62.0,,Annex Creek,AEA-133,213.0,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1.0,0.0,False,4.0,1.0,Electric Utility,1.0,23.0, ,,58.3176,-134.101,OP,,,,,,,,,,,,,,,,,,
11,,P7,7250.0,,Auke Bay,AEA-133,213.0,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1.0,0.0,False,36.2,1.0,Electric Utility,1.0,69.0, ,,58.3875,-134.6446,,,,,,,,,,,,,,,,,,,
12,,P8,63.0,,Gold Creek,AEA-133,213.0,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1.0,0.0,False,9.7,1.0,Electric Utility,1.0,12.0, ,,58.3107,-134.4174,,,,,,,,,,,,,,,,,,,
13,,P9,59793.0,,Industrial Plant,AEA-133,213.0,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1.0,0.0,False,41.7,1.0,Electric Utility,1.0,69.0, ,,58.367635,-134.60802,,,,,,,,,,,,,,,,,,,
14,,P14,58511.0,,Delta Wind Farm,AEA-113,58488.0,Alaska Environmental Power LLC,215-1985,Railbelt_grid,1.0,0.0,False,1.9,7.0,NAICS-22 Non-Cogen,2.0,25.0, ,,64.013889,-145.596667,OP,,,,,,,,,,,,,,,,,,
15,,P15,7752.0,,Black Bear Lake,AEA-005,219.0,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1.0,,False,4.5,1.0,Electric Utility,1.0,34.5, ,,55.476472,-133.14772,OP,"Included in PCE reporting as ""Purchased Power""",,,,,,,,,,,,,,,,,
16,,P16,7751.0,,Goat Lake Hydro,AEA-005,219.0,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,1.0,,False,4.0,1.0,Electric Utility,1.0,34.5, ,,59.5357,-135.2123,OP,"Included in PCE reporting as ""Purchased Power""",,,,,,,,,,,,,,,,,
17,,P17,56542.0,,Kasidaya Creek Hydro,AEA-005,219.0,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,1.0,,False,3.0,1.0,Electric Utility,1.0,34.5, ,,59.4072,-135.3408,OP,"Included in PCE reporting as ""Purchased Power""",,,,,,,,,,,,,,,,,
18,,P18,56265.0,,South Fork,AEA-005,219.0,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1.0,,False,2.0,1.0,Electric Utility,1.0,34.5, ,,55.563333,-132.891111,OP,"Included in PCE reporting as ""Purchased Power""",,,,,,,,,,,,,,,,,
19,,P19,56147.0,,Viking,AEA-005,219.0,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1.0,,False,1.0,1.0,Electric Utility,1.0,12.47, ,,55.540708,-133.102344,,,,,,,,,,,,,,,,,,,
20,,P20,421.0,331090.0,Craig,AEA-005,219.0,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1.0,1.0,False,4.6,1.0,Electric Utility,1.0,12.47, ,,55.47691,-133.14869,OP,,,,,,,,,,,,,,,,,,
21,,P21,56146.0,,False Island,AEA-005,219.0,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1.0,,False,1.3,1.0,Electric Utility,1.0,12.47, ,,55.48918,-133.1345,,,,,,,,,,,,,,,,,,,
