aea_plant_id,year,fuel_type,generation
P3,2011,Oil,1851.534
P4,2011,Oil,1029.531
P5,2011,Oil,489.5706
P5,2011,Hydro,42.111
P6,2011,Hydro,22270.0
P7,2011,Oil,1119.0
P8,2011,Oil,23.0
P8,2011,Hydro,4838.0
P10,2011,Hydro,70602.0
P11,2011,Oil,2283.0
P12,2011,Hydro,24337.0
P13,2011,Hydro,263749.0
P14,2011,Wind,1394.0
,2011,Oil,655.368
P31,2011,Oil,573.845
P33,2011,Oil,632.583
P20,2011,Oil,2779.0
,2011,Oil,65.0
P15,2011,Hydro,17791.0
P18,2011,Hydro,6115.0
P34,2011,Oil,749.742
P16,2011,Hydro,15831.0
P22,2011,Oil,185.0
P26,2011,Oil,95.0
P26,2011,Hydro,3000.12
P36,2011,Oil,83.3
P23,2011,Oil,23.0
,2011,Oil,237.108
P43,2011,Oil,449.908
P25,2011,Oil,1286.0
P17,2011,Hydro,7965.0
P27,2011,Oil,1150.458
P21,2011,Oil,929.0
P28,2011,Oil,119.0
P29,2011,Oil,10400.0
P40,2011,Oil,267.042
P45,2011,Oil,1946.208
P46,2011,Oil,1277.774
P79,2011,Oil,405.42
P48,2011,Oil,1176.332
P49,2011,Oil,1657.267
P49,2011,Wind,741.629
P80,2011,Oil,800.578
P81,2011,Oil,261.5155
P50,2011,Oil,1159.445
P51,2011,Oil,3089.884
P51,2011,Wind,80.325
P52,2011,Oil,1495.881
P52,2011,Wind,387.204
P82,2011,Oil,773.073
P83,2011,Oil,569.047
P84,2011,Oil,594.372
P53,2011,Oil,2711.468
P53,2011,Wind,543.096
P85,2011,Oil,1005.8
P77,2011,Oil,1472.206
P86,2011,Oil,727.038
P54,2011,Oil,2286.42
P54,2011,Wind,496.85
P55,2011,Oil,1511.732
P56,2011,Oil,1212.085
P57,2011,Oil,1966.457
P58,2011,Oil,1315.918
P59,2011,Oil,1644.176
P87,2011,Oil,708.831
P87,2011,Wind,238.706
P88,2011,Oil,652.663
P60,2011,Oil,2796.866
P61,2011,Oil,1466.378
P62,2011,Oil,1800.64
P63,2011,Oil,2001.474
P90,2011,Oil,1110.214
P91,2011,Oil,788.019
P65,2011,Oil,1750.671
P66,2011,Oil,1415.165
P66,2011,Wind,409.24
P93,2011,Oil,1123.786
P67,2011,Oil,3172.434
P73,2011,Oil,1734.962
P68,2011,Oil,1753.637
P68,2011,Wind,359.924
P69,2011,Oil,1735.552
P70,2011,Oil,2745.755
P70,2011,Wind,107.907
P94,2011,Oil,369.015
P95,2011,Oil,903.839
P95,2011,Wind,0.082
P71,2011,Oil,1593.91
P72,2011,Oil,1527.344
P74,2011,Oil,1354.235
P96,2011,Oil,837.989
P75,2011,Oil,3044.756
P76,2011,Oil,2592.108
P76,2011,Wind,559.973
P98,2011,Oil,582.095
P100,2011,Oil,252.608
P101,2011,Oil,48.345
P101,2011,Gas,91290.655
P102,2011,Hydro,66088.0
P103,2011,Oil,328.0
P103,2011,Gas,1082675.0
P105,2011,Oil,2618.598
P107,2011,Oil,444.322
P108,2011,Oil,796.814
P109,2011,Coal,209150.0
,2011,Wind,955.0
P110,2011,Gas,50211.0
P111,2011,Oil,318.03
P47,2011,Oil,41800.0
P113,2011,Oil,1592.204
P114,2011,Oil,304.165
P115,2011,Oil,308.276
P116,2011,Oil,506.531
P117,2011,Oil,199.043
P116,2011,Oil,868.082
P119,2011,Oil,519.236
P120,2011,Gas,2281306.0
P155,2011,Oil,41995.0
P121,2011,Hydro,28759.0
,2011,Oil,21789.0
P124,2011,Oil,389.51
P127,2011,Oil,15113.0
