plant_name,aea_plant_id
Akiachak,P3
Akiak,P4
Akutan,P5
Akutan,P5
Annex Creek,P6
Auke Bay,P7
Gold Creek,P8
Gold Creek,P8
Lake Dorothy,P10
Lemon Creek,P11
Salmon Creek 1,P12
Snettisham,P13
Alaska Environmental,P14
Allakaket,
Bettles,P31
Coffman Cove,P33
Craig,P20
Viking,
Black Bear Lake,P15
South Fork,P18
Eagle,P34
Eagle,P34
Goat Lake,P16
Haines,P22
Skagway,P26
Skagway,P26
Healy Lake,P36
Hydaburg,P23
Mentasta Lake,
Naukati Bay,P43
Northway,P25
Kasidaya Creek,P17
Slana,P27
False Island,P21
Thorne Bay Plant,P28
Tok,P29
Whale Pass,P40
Alakanuk,P45
Ambler,P46
Anvik,P79
Brevig Mission,P48
Chevak,P49
Chevak,P49
Eek,P80
Ekwok,P81
Elim,P50
Emmonak,P51
Emmonak,P51
Gambell,P52
Gambell,P52
Goodnews Bay,P82
Grayling,P83
Holy Cross,P84
Hooper Bay,P53
Hooper Bay,P53
Huslia,P85
Upper Kalskag,P77
Kaltag,P86
Kaltag,P86
Kasigluk,P54
Kasigluk,P54
Kiana,P55
Kivalina,P56
Kotlik,P57
Koyuk,P58
Marshall,P59
Mekoryuk,P87
Mekoryuk,P87
Minto,P88
Mountain Village,P60
New Stuyahok,P61
Noatak,P62
Noorvik,P63
Noorvik,P63
Nulato,P90
Old Harbor,P91
Pilot Station,P65
Quinhagak,P66
Quinhagak,P66
Russian Mission,P93
Saint Mary's,P67
Saint Mary's,P67
Saint Michael,P73
Savoonga,P68
Savoonga,P68
Scammon Bay,P69
Selawik,P70
Selawik,P70
Shageluk,P94
Shaktoolik,P95
Shaktoolik,P95
Shishmaref,P71
Shungnak,P72
Shungnak,P72
Shungnak,P72
Stebbins,P74
Teller,P96
Togiak,P75
Toksook Bay,P76
Toksook Bay,P76
Wales,P98
Karluk,P100
Anchorage 1,P101
Anchorage 1,P101
Eklutna Lake,P102
George M Sullivan Generation Plant 2,P103
George M Sullivan Generation Plant 2,P103
Aniak,P105
Atka,P107
Atka,P107
Atmautluak,P108
Aurora Energy,P109
Banner Peak Wind Farm,
Barrow,P110
Barrow,P110
Beaver,P111
Bethel,P47
Bethel,P47
Buckland,P113
Buckland,P113
Buckland,P113
Buckland,P113
Chalkyitsik,P114
Chenega Bay,P115
Chignik Lagoon,P116
Chignik Lagoon,P116
Chignik Lake,P117
Chignik,P116
Chitina,P119
Beluga,P120
Bernice Lake,P155
Cooper Lake,P121
International,
