intertie_id,intertie_name,current,aea_energy_region,source
070-0000,Pilot Station Grid,True,Lower Yukon-Kuskokwim,
071-0000,Quinhagak Grid,True,Lower Yukon-Kuskokwim,
072-0000,Russian Mission Grid,True,Lower Yukon-Kuskokwim,
075-2020,Saint Mary's Grid,True,Lower Yukon-Kuskokwim,
076-0000,Savoonga Grid,True,Bering Straits,
077-0000,Scammon Bay Grid,True,Lower Yukon-Kuskokwim,
078-0000,Selawik Grid,True,Northwest Arctic,
079-0000,Shageluk Grid,True,Yukon-Koyukuk/Upper Tanana,
080-0000,Shaktoolik Grid,True,Bering Straits,
081-0000,Shishmaref Grid,True,Bering Straits,
084-2015,Stebbins Grid,True,Bering Straits,PCE reporting
085-0000,Teller Grid,True,Bering Straits,
086-2020,Togiak Grid,True,Bristol Bay,
088-2008,Toksook Bay Grid,True,Lower Yukon-Kuskokwim,Distributing Alaska's Power. 2008
090-0000,Wales Grid,True,Bering Straits,
091-0000,Yakutat Grid,True,Southeast,
092-0000,Karluk Grid,True,Kodiak,
093-0000,Aniak Grid,True,Lower Yukon-Kuskokwim,
094-0000,Arctic Village Grid,True,Yukon-Koyukuk/Upper Tanana,
095-0000,Atka Grid,True,Aleutians,
096-0000,Atmautluak Grid,True,Lower Yukon-Kuskokwim,
097-0000,Beaver Grid,True,Yukon-Koyukuk/Upper Tanana,
098-0000,Birch Creek Grid,True,Yukon-Koyukuk/Upper Tanana,
099-0000,Buckland Grid,True,Northwest Arctic,
100-0000,Chalkyitsik Grid,True,Yukon-Koyukuk/Upper Tanana,
101-0000,Chenega Grid,True,Copper River/Chugach,
102-0000,Chignik Lagoon Grid,True,Bristol Bay,
103-0000,Chignik Lake Grid,True,Bristol Bay,
104-0000,Chignik Grid,True,Bristol Bay,
105-0000,Chitina Grid,True,Copper River/Chugach,
106-0000,Circle Grid,True,Yukon-Koyukuk/Upper Tanana,
107-0000,Clark's Point Grid,True,Bristol Bay,
110-0000,Diomede Grid,True,Bering Straits,
111-0000,Egegik Grid,True,Bristol Bay,
112-0000,Elfin Cove Grid,True,Southeast,
113-0000,False Pass Grid,True,Aleutians,
114-0000,Cold Bay Grid,True,Aleutians,
115-0000,Galena Grid,True,Yukon-Koyukuk/Upper Tanana,
116-0000,Central Grid,True,Yukon-Koyukuk/Upper Tanana,
117-0000,Golovin Grid,True,Bering Straits,
118-0000,Gustavus Grid,True,Southeast,
119-0000,Fort Yukon Grid,True,Yukon-Koyukuk/Upper Tanana,
120-0000,Hughes Grid,True,Yukon-Koyukuk/Upper Tanana,
121-0000,Igiugig Grid,True,Bristol Bay,
123-1983,Newhalen Grid,True,Bristol Bay,https://www.innelectric.com/our-history.html
125-0000,Angoon Grid,True,Southeast,
128-0000,Hoonah Grid,True,Southeast,
129-0000,Kake Grid,True,Southeast,
130-0000,Deering Grid,True,Northwest Arctic,
131-0000,King Cove Grid,True,Aleutians,
132-0000,Kipnuk Grid,True,Lower Yukon-Kuskokwim,
134-0000,Kokhanok Grid,True,Bristol Bay,
135-0000,Kotzebue Grid,True,Northwest Arctic,
136-0000,Koyukuk Grid,True,Yukon-Koyukuk/Upper Tanana,
137-0000,Kwethluk Grid,True,Lower Yukon-Kuskokwim,
138-0000,Kwigillingok Grid,True,Lower Yukon-Kuskokwim,
139-0000,Larsen Bay Grid,True,Kodiak,
140-0000,Levelock Grid,True,Bristol Bay,
141-0000,Lime Village Grid,True,Lower Yukon-Kuskokwim,
142-0000,Manokotak Grid,True,Bristol Bay,
143-0000,McGrath Grid,True,Yukon-Koyukuk/Upper Tanana,
144-0000,Chuathbaluk Grid,True,Lower Yukon-Kuskokwim,
145-0000,Crooked Creek Grid,True,Lower Yukon-Kuskokwim,
146-0000,Red Devil Grid,True,Lower Yukon-Kuskokwim,
147-0000,Sleetmute Grid,True,Lower Yukon-Kuskokwim,
